phi1_rad,phi1_over_pi,C_max,t_at_C_max,t_at_C_max_over_T1,C_final,C_auc_over_tT1
0.0,0.0,0.5274158947435624,2.0,2.0,0.5086174758887533,4.951070929152999
0.1570796327,0.05000000000652865,0.5704414348834405,1.08,1.08,0.5375335423845536,5.302764007130744
0.3141592654,0.1000000000130573,0.49835812256829853,4.84,4.84,0.48887992975092687,4.751616034291442
0.471238898,0.14999999998775496,0.4810570363051174,1.32,1.32,0.4476330835308308,4.357098248871389
0.6283185307,0.19999999999428358,0.4911142106593085,1.09,1.09,0.42944045316840523,4.291234316848739
0.7853981634,0.25000000000081224,0.5590560427470046,1.28,1.28,0.45932035764040147,4.713455528555854
0.9424777961,0.3000000000073409,0.550305767388432,1.3800000000000001,1.3800000000000001,0.42540908649890047,4.216149410627409
1.099557429,0.3500000000775315,0.6644449819228129,1.69,1.69,0.5082648967619877,5.209504001592563
1.256637061,0.39999999986124324,0.7086231662520467,2.25,2.25,0.49450047570432554,5.196973477692251
1.413716694,0.4499999999632649,0.8262591232995949,4.7700000000000005,4.7700000000000005,0.30735626880236055,5.60875868166219
1.570796327,0.5000000000652864,0.0037025977751372384,9.96,9.96,0.003608511802009232,0.020270865506195994
