traj,F_phi_plus,F_phi_minus,F_psi_plus,F_psi_minus,F_plusplus,F_ee,F_eg,F_ge,F_gg
1,0.8943142290293573,0.4473878112402218,0.006784574068871229,0.0004191229067109866,0.6371740104433202,0.707090444694585,0.004592028662135346,0.005011923989153991,0.7070904446478573
2,0.00042779559272322843,0.0026538274117049883,0.7071042265898226,0.7071042263554991,0.5003085667046439,0.0019007641884477198,0.9999963870889736,1.6642790665039064e-10,0.001900764188473915
3,0.9844387056890973,0.17551862711456684,0.007729786742626887,0.003727824285663381,0.7015684121700037,0.707080742816815,0.008101963237314236,0.0028292169751506736,0.7070807428155775
4,0.0003711981262995485,0.0002159444288296137,0.7071067159872022,0.7071067159812224,0.4997377549640082,0.0003036610324887106,0.9999999077899735,4.198804671603136e-12,0.0003036610324996179
5,0.6112835349277719,0.7683540417275956,0.13418031509448658,0.1340154824198386,0.3377020175638147,0.6942749792172094,0.18964306701919534,0.00011669888934949837,0.6942749792019501
6,0.4579699028555769,0.8861710538147333,0.050050275719642316,0.04959235182679924,0.3592437814287971,0.7053494058018298,0.0003239545186697218,0.07045797692806038,0.7053494058093956
7,0.0011368942916310007,0.004082358768896805,0.7071004322731743,0.7071004316908177,0.5008215648706837,0.0029965131193780826,4.149199937526622e-10,0.9999910208688132,0.0029965131192315566
8,0.2157387911180933,0.9759988117120992,0.021551210430706264,0.020460666470949754,0.1371901246625426,0.7067944915157574,0.0007731445202068823,0.029706830713068406,0.7067944915033709
9,0.9811143295927784,0.07652316505401296,0.12570458732829085,0.12552782242375699,0.7823088114085165,0.6958595844432077,0.00012491944440106535,0.17764814064030784,0.69585958444265
10,0.0,0.354841969526616,0.6611108575031077,0.6611064923299669,0.47097528066475036,0.25086912911790943,3.109011278552726e-06,0.9349488542693988,0.2508691291217388
11,5.751349505243524e-05,4.048692642024785e-05,0.707106779437601,0.7071067794374406,0.49995927559855047,4.973426031514973e-05,1.1428123105424948e-13,0.9999999975265029,4.97342603139168e-05
12,0.00019121417572198757,0.0011304976736810119,0.7071063164307119,0.7071063163880961,0.4998546819631474,0.0008107366561259784,3.01207631782481e-11,0.9999993427058603,0.0008107366561398877
13,0.272219066489615,0.9621929192282681,0.007981820167252806,0.004225703884001466,0.1867937186918445,0.7070779426596436,0.002652630976976719,0.008633051337598558,0.7070779426468486
14,0.00025068102440109057,0.00011222288767955585,0.7071067545174876,0.7071067545150411,0.49982214211718395,0.00019420987490090434,1.7154567770585694e-12,0.9999999622825241,0.00019420987490608642
15,0.9656643198285235,0.25947572309032657,0.010262411774331444,0.0077115388195705785,0.6900846757680986,0.7070485185159008,0.001802851203937412,0.01270962839457323,0.7070485185177066
16,0.01138497872530182,0.28539887382634005,0.6776509447842848,0.677648184614288,0.47270747185799034,0.20196798622633183,0.9583412049339699,1.9445245510451066e-06,0.20196798622949882
17,0.6726545748389711,0.7395181033618339,0.018636314822993508,0.017363338334913655,0.48884189696195296,0.7068773593275665,0.025455625461811494,0.0008993779307856551,0.7068773593218048
18,0.8237646833917839,0.5645720842160225,0.03684998260125795,0.036224120454546545,0.6085660022563399,0.7061621243998281,0.05167120252138644,0.00044153189282265847,0.7061621244039584
19,0.9060225278579568,0.3923387313294305,0.1123347961934093,0.11213565881403713,0.7198654277016522,0.6981427101927109,0.00013994210394602553,0.15872458168059697,0.6981427101898997
20,0.0007969582175915966,0.0007631755630871786,0.7071063507268519,0.7071063506873697,0.49943526940291616,0.000780249748705035,2.792249792064315e-11,0.9999993912101425,0.0007802497486868782
