name,script,status,exit_code,duration_sec,out_dir,run_config_path,cmd,log_path,measurement,N,state,gamma,phi1,phi2,theta,phi_state,eta_minus_list,ntraj,chunk_size,t_end_T1,dt_T1,runtime_sec,states,omega,eta_vector,unitary_mode
n2_eta_minus_scan_quick,.\Codes\Jz_2_Homodyne_N2_eta_minus_scan_final_state.py,ok,0,19.49451489999774,C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Graphs\Jz_2_Homodyne_N2_eta_minus_scan_final_state\state=plusplus_phi_1=0_phi_2=0_batch_quick,C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Graphs\Jz_2_Homodyne_N2_eta_minus_scan_final_state\state=plusplus_phi_1=0_phi_2=0_batch_quick\run_config.json,"'.\Giga_SMT_venv\Scripts\python.exe' 'C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Jz_2_Homodyne_N2_eta_minus_scan_final_state.py' --state plusplus --phi1 0.0 --phi2 0.0 --eta-minus-list 0,0.5,1 --ntraj 10 --chunk-size 5 --t-end 1.0 --dt 0.05 --num-cpus 1 --tag batch_quick",C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\BatchReports\n2_eta_minus_scan_quick.log,homodyne,2,plusplus,1.0,0.0,0.0,1.5707963267948966,0.0,"0.0,0.5,1.0",10,5,1.0,0.05,8.660561400000006,,,,
n3_generic_collective_diff_quick,.\Codes\Jz_N_Homodyne_Generic.py,ok,0,21.271979200013448,C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Graphs\Jz_N_Homodyne_Generic\N=3_U=collective_diff_3_eta=1_1_1_batch_quick,C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Graphs\Jz_N_Homodyne_Generic\N=3_U=collective_diff_3_eta=1_1_1_batch_quick\run_config.json,"'.\Giga_SMT_venv\Scripts\python.exe' 'C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Jz_N_Homodyne_Generic.py' --N 3 --unitary-mode collective_diff_3 --states plusN,css_pi_3 --eta 1.0 --ntraj 10 --chunk-size 5 --t-end 1.0 --dt 0.05 --num-cpus 1 --tag batch_quick",C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\BatchReports\n3_generic_collective_diff_quick.log,homodyne,3,,1.0,,,,,,10,5,1.0,0.05,10.599861899972893,"plusN,css_pi_3",0.0,"1.0,1.0,1.0",collective_diff_3
