name,script,status,exit_code,duration_sec,out_dir,run_config_path,cmd,log_path,error,measurement,N,states,gamma,omega,eta_vector,unitary_mode,ntraj,chunk_size,t_end_T1,dt_T1,runtime_sec
n2_eta_minus_scan_quick,.\Codes\Jz_2_Homodyne_N2_eta_minus_scan_final_state.py,failed,1,1284.2058211000112,,,"'.\Giga_SMT_venv\Scripts\python.exe' 'C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Jz_2_Homodyne_N2_eta_minus_scan_final_state.py' --state plusplus --phi1 0.0 --phi2 0.0 --eta-minus-list 0,0.25,0.5,0.75,1 --ntraj 30 --chunk-size 10 --t-end 2.0 --dt 0.05 --num-cpus 1 --tag batch_quick",C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\BatchReports\n2_eta_minus_scan_quick.log,KeyError: 'best_state',,,,,,,,,,,,
n3_generic_collective_diff_quick,.\Codes\Jz_N_Homodyne_Generic.py,ok,0,46.229305300017586,C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Graphs\Jz_N_Homodyne_Generic\N=3_U=collective_diff_3_eta=1_1_1_batch_quick,C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Graphs\Jz_N_Homodyne_Generic\N=3_U=collective_diff_3_eta=1_1_1_batch_quick\run_config.json,"'.\Giga_SMT_venv\Scripts\python.exe' 'C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\Jz_N_Homodyne_Generic.py' --N 3 --unitary-mode collective_diff_3 --states plusN,css_pi_3 --eta 1.0 --ntraj 30 --chunk-size 10 --t-end 2.0 --dt 0.05 --num-cpus 1 --tag batch_quick",C:\Users\campa\OneDrive\Desktop\Master Thesis\Stochastic_Master_Thesis\Codes\BatchReports\n3_generic_collective_diff_quick.log,,homodyne,3.0,"plusN,css_pi_3",1.0,0.0,"1.0,1.0,1.0",collective_diff_3,30.0,10.0,2.0,0.05,36.981702599994605
