phi1_rad,phi1_over_pi,C_max,t_at_C_max,t_at_C_max_over_T1,C_final,C_auc_over_tT1
1.099557429,0.3500000000775315,0.6368344214775987,1.56,1.56,0.45904715682931146,4.706913950698727
1.151917306,0.36666666656599883,0.6567156032831274,1.6500000000000001,1.6500000000000001,0.4691993168677308,4.795603259190392
1.204277184,0.3833333333727759,0.6879085540846419,2.19,2.19,0.5335071558350982,5.247311771121119
1.256637061,0.39999999986124324,0.6955367394122374,2.19,2.19,0.5232366214026889,5.08982954178056
1.308996939,0.4166666666680204,0.7305427025070178,2.83,2.83,0.5009162183339108,5.153933568927066
1.361356817,0.4333333334747976,0.7582337987973621,3.35,3.35,0.5393980907986577,5.156345143294803
1.413716694,0.4499999999632649,0.799705639726372,4.59,4.59,0.29572565191780614,5.403249036790143
1.466076572,0.466666666770042,0.852975718922249,7.46,7.46,0.7111005703540492,6.216025933500415
1.518436449,0.4833333332585093,0.8028530006113939,9.99,9.99,0.8028530006113939,4.4991587868469
1.570796327,0.5000000000652864,0.003837564566059099,9.31,9.31,0.0027733230057711126,0.02242501226446166
