step,t,t_T1,Conc_pair_mean,Xi2_KU,Xi2_W
0,0.0,0.0,0.0,0.9999999999999999,1.0
1,0.02,0.02,0.0,0.9495619548203805,1.0014319830537337
2,0.04,0.04,0.0,0.9038737195239654,1.0055384782963974
3,0.06,0.06,0.0,0.862172089768105,1.0124327851804769
4,0.08,0.08,0.0,0.8260699700706345,1.0218917967647414
5,0.1,0.1,0.0,0.7921660449873313,1.0340404793163644
6,0.12,0.12,0.0,0.7584480864024364,1.0494550040249753
7,0.14,0.14,0.0,0.7330537662699466,1.0670434472198131
8,0.16,0.16,0.0,0.7108718033906789,1.087116305702083
9,0.18,0.18,0.0,0.6912586340837908,1.110133689964338
10,0.2,0.2,0.0,0.6722249196715857,1.1358698118678345
11,0.22,0.22,0.0,0.6599733665082443,1.1638058616903988
12,0.24,0.24,0.0,0.6428358825695704,1.1971471764561912
13,0.26,0.26,0.0,0.6307015277902942,1.2314130386830464
14,0.28,0.28,0.0,0.6189423074850638,1.2713124774597693
15,0.3,0.3,0.0,0.6148861659306835,1.312633912965208
16,0.32,0.32,0.0,0.6042129115727949,1.3602878962668357
17,0.34,0.34,0.0,0.5925546510465306,1.4166701424330015
18,0.36,0.36,0.0,0.5841327800119285,1.475227252368456
19,0.38,0.38,0.0,0.5855927179314343,1.533663667780738
20,0.4,0.4,0.0,0.5875017077500818,1.5974972505492906
21,0.42,0.42,0.0,0.5823097496065993,1.6717727295884144
22,0.44,0.44,0.0,0.58737277593175,1.7461199278268262
23,0.46,0.46,0.0,0.5906790900181186,1.820361843831875
24,0.48,0.48,0.0,0.599656927527509,1.8962446490130924
25,0.5,0.5,0.0,0.6040085734436602,1.9883365383461387
26,0.52,0.52,0.0,0.6055209344405006,2.0756301924352663
27,0.54,0.54,0.0,0.6071876714254841,2.1850351416924734
28,0.56,0.56,0.0,0.602442507718212,2.3254962183949477
29,0.58,0.58,0.0,0.6133075545813074,2.4690844026703442
30,0.6,0.6,0.0,0.6182208196553252,2.593707101393288
31,0.62,0.62,0.0,0.6256521182659136,2.765539829797619
32,0.64,0.64,0.0,0.6317772381306432,2.927114782657239
33,0.66,0.66,0.0,0.6399722842191113,3.0740414287927194
34,0.68,0.68,0.0,0.6525402624818277,3.2508087041028824
35,0.7000000000000001,0.7000000000000001,0.0,0.6704567221743497,3.42045695123403
36,0.72,0.72,0.0,0.6812236950144777,3.597750419985596
37,0.74,0.74,0.0,0.6873327913381337,3.7350074183708624
38,0.76,0.76,0.0,0.6970765852371967,3.960870687149158
39,0.78,0.78,0.0,0.7086091715952108,4.183707165228429
40,0.8,0.8,0.0,0.7150790419620869,4.3965752473138
41,0.8200000000000001,0.8200000000000001,0.0,0.7196723454796364,4.636784783796136
42,0.84,0.84,0.0,0.7237553673515784,4.812563094726317
43,0.86,0.86,0.0,0.726727714354031,5.07127764608612
44,0.88,0.88,0.0,0.7347784842022419,5.330087200243978
45,0.9,0.9,0.0,0.7464598840934217,5.580928091910441
46,0.92,0.92,0.0,0.7587625282508523,5.836740619979667
47,0.9400000000000001,0.9400000000000001,0.0,0.761948498171676,6.000828818299494
48,0.96,0.96,0.0,0.7747466249405598,6.237654442388487
49,0.98,0.98,0.0,0.7827439638146576,6.546140854694914
50,1.0,1.0,0.0,0.7977754522634719,6.8310373338576
51,1.02,1.02,0.0,0.8141861808524783,7.124454672016009
52,1.04,1.04,0.0,0.8178728590989255,7.356913960228306
53,1.06,1.06,0.0,0.8191817051515335,7.6394512171063385
54,1.08,1.08,0.0,0.8318193940581005,7.895805013170533
55,1.1,1.1,0.0,0.8428840272619701,8.030571916298594
56,1.12,1.12,0.0,0.8562767494028778,8.25990244855239
57,1.1400000000000001,1.1400000000000001,0.0,0.864537971524597,8.409789335493146
58,1.16,1.16,0.0,0.8668899507768741,8.650785671566775
59,1.18,1.18,0.0,0.8733899173205708,8.788464667865794
60,1.2,1.2,0.0,0.8801546355608727,8.988626720138758
61,1.22,1.22,0.0,0.8896182143211178,9.134065193785878
62,1.24,1.24,0.0,0.9073299407894321,9.307769365687255
63,1.26,1.26,0.0,0.910774649548963,9.469056876432898
64,1.28,1.28,0.0,0.9197820843545074,9.477560077922787
65,1.3,1.3,0.0,0.9201630433968953,9.809572284062817
66,1.32,1.32,0.0,0.9292920446598859,9.86618733060304
67,1.34,1.34,0.0,0.9191894935239577,10.016448145045972
68,1.36,1.36,0.0,0.9255578772155693,10.215811449995892
69,1.3800000000000001,1.3800000000000001,0.0,0.9322218683053007,10.277693189663136
70,1.4000000000000001,1.4000000000000001,0.0,0.931136017752679,10.601910708152227
71,1.42,1.42,0.0,0.9317503563820243,11.035852322565518
72,1.44,1.44,0.0,0.9371925378978767,11.018806182979693
73,1.46,1.46,0.0,0.9339152613465541,11.104730914345804
74,1.48,1.48,0.0,0.9378238273690439,11.401094561866584
75,1.5,1.5,0.0,0.9406682391031158,11.788049714292233
76,1.52,1.52,0.0,0.9456000804522874,12.08073266297762
77,1.54,1.54,0.0,0.9396747510890584,12.368126724902568
78,1.56,1.56,0.0,0.952860907857439,12.048777032225392
79,1.58,1.58,0.0,0.9558317688357769,12.092332378957888
80,1.6,1.6,0.0,0.9609868924654031,11.996742361333833
81,1.62,1.62,0.0,0.961902529304595,12.353151816833781
82,1.6400000000000001,1.6400000000000001,0.0,0.9573774365171811,12.396032556499268
83,1.6600000000000001,1.6600000000000001,0.0,0.9643172488089471,12.524975276473278
84,1.68,1.68,0.0,0.9663225071876121,12.493813652684164
85,1.7,1.7,0.0,0.9689916703975651,12.617572900136198
86,1.72,1.72,0.0,0.9581043383087864,13.069906446357486
87,1.74,1.74,0.0,0.9623577096301041,13.880735311326758
88,1.76,1.76,0.0,0.9689475179002381,13.411045597855837
89,1.78,1.78,0.0,0.9718193613275381,12.935055839760548
90,1.8,1.8,0.0,0.9766357279867767,12.361668564079473
91,1.82,1.82,0.0,0.9831637970714594,11.947428328587094
92,1.84,1.84,0.0,0.9769461159194455,12.465679325226166
93,1.86,1.86,0.0,0.9806482948540013,12.126272274019943
94,1.8800000000000001,1.8800000000000001,0.0,0.9873236444592571,11.787889839109544
95,1.9000000000000001,1.9000000000000001,0.0,0.982028293965965,12.263424365719743
96,1.92,1.92,0.0,0.9838426886728704,12.519240924528537
97,1.94,1.94,0.0,0.9909843291264417,11.227252484498079
98,1.96,1.96,0.0,0.9931954537376878,10.50790979435994
99,1.98,1.98,0.0,0.9886319396865892,12.280117371182376
100,2.0,2.0,0.0,0.9871170033005918,13.32204593282278
101,2.02,2.02,0.0,0.9844691230709387,14.819828636381887
102,2.04,2.04,0.0,0.9841496928792656,14.412436184111566
103,2.06,2.06,0.0,0.9890057757939917,13.8097369822082
104,2.08,2.08,0.0,0.9863065571491384,13.889381479876793
105,2.1,2.1,0.0,0.9834592215809984,17.096490725119757
106,2.12,2.12,0.0,0.9868562898980505,16.340665160630113
107,2.14,2.14,0.0,0.9820135049298813,15.948174404347776
108,2.16,2.16,0.0,0.9827812295750911,15.599585345213278
109,2.18,2.18,0.0,0.9822202034166281,17.376636623296296
110,2.2,2.2,0.0,0.9879707857515508,15.89821766491108
111,2.22,2.22,0.0,0.9936538381912619,12.81557467320929
112,2.24,2.24,0.0,0.9978306446269589,9.707864213807099
113,2.2600000000000002,2.2600000000000002,0.0,0.9979498108715401,9.697706759611547
114,2.2800000000000002,2.2800000000000002,0.0,0.9982679549548338,9.38502052758362
115,2.3000000000000003,2.3000000000000003,0.0,0.9986231923511609,9.0682453328445
116,2.32,2.32,0.0,0.9989943190396419,8.629770783093187
117,2.34,2.34,0.0,0.9988006534871942,9.011078621382554
118,2.36,2.36,0.0,0.9988702113880218,8.950089399114677
119,2.38,2.38,0.0,0.9991303256014636,8.587592464163766
120,2.4,2.4,0.0,0.9988129665937663,9.259775098979757
121,2.42,2.42,0.0,0.9988087678932521,9.428995696599573
122,2.44,2.44,0.0,0.9964712275467998,13.272386470576288
123,2.46,2.46,0.0,0.9927517979491347,15.482597340887402
124,2.48,2.48,0.0,0.9986712342465719,10.044846269073776
125,2.5,2.5,0.0,0.9926001278001266,17.20282846007988
126,2.52,2.52,0.0,0.9927635082431122,15.51138506479484
127,2.54,2.54,0.0,0.9952458524148733,16.261841431070955
128,2.56,2.56,0.0,0.9924937841250637,16.54286364558045
129,2.58,2.58,0.0,0.9942832569615737,16.72242355014639
130,2.6,2.6,0.0,0.9988815086996837,10.701091993014344
131,2.62,2.62,0.0,0.9985061933508981,12.156450662321863
132,2.64,2.64,0.0,0.999069278688308,10.438332281775764
133,2.66,2.66,0.0,0.9987763307866472,11.654640365826992
134,2.68,2.68,0.0,0.99833444666926,13.644910755081824
135,2.7,2.7,0.0,0.9961053984715792,21.804838996210943
136,2.72,2.72,0.0,0.9937250038044279,27.935402181523436
137,2.74,2.74,0.0,0.9940816141515236,26.052601499911134
138,2.7600000000000002,2.7600000000000002,0.0,0.9974567452317615,19.058779915783415
139,2.7800000000000002,2.7800000000000002,0.0,0.9936911085804675,31.58869207675752
140,2.8000000000000003,2.8000000000000003,0.0,0.9926094830366226,28.89365515116398
141,2.82,2.82,0.0,0.9932016841894377,29.355184603256262
142,2.84,2.84,0.0,0.9957383823363268,28.96178599434626
143,2.86,2.86,0.0,0.9996085281128316,9.614258912374138
144,2.88,2.88,0.0,0.9997251963906119,8.967384278675656
145,2.9,2.9,0.0,0.99965811700033,9.550163344405906
146,2.92,2.92,0.0,0.9995750956758794,10.37463299161162
147,2.94,2.94,0.0,0.9995557198862745,10.736022550323897
148,2.96,2.96,0.0,0.9980294232656292,21.684279296433346
149,2.98,2.98,0.0,0.9990224680494829,15.584211075070924
150,3.0,3.0,0.0,0.9942020843924806,32.54884623313262
151,3.02,3.02,0.0,0.9972547060992838,28.618231353522916
152,3.04,3.04,0.0,0.9997889538033735,9.372760256882069
153,3.06,3.06,0.0,0.9990577798459519,17.260089728262457
154,3.08,3.08,0.0,0.9973693406638787,31.6645043569684
155,3.1,3.1,0.0,0.9969015064892724,36.07718842760648
156,3.12,3.12,0.0,0.9996799577882284,11.363924545071669
157,3.14,3.14,0.0,0.9998105278039694,9.705730949176719
158,3.16,3.16,0.0,0.9998242127134646,9.666345209893727
159,3.18,3.18,0.0,0.9998405972968257,9.558321402158532
160,3.2,3.2,0.0,0.9998947970573565,8.761611610185534
161,3.22,3.22,0.0,0.9998996192918568,8.804826083024553
162,3.24,3.24,0.0,0.9994194857756706,17.587283382997228
163,3.2600000000000002,3.2600000000000002,0.0,0.9998679581310864,9.7392851227377
164,3.2800000000000002,3.2800000000000002,0.0,0.9996129099307782,15.06454010425085
165,3.3000000000000003,3.3000000000000003,0.0,0.9998077101653804,11.33472561904028
166,3.3200000000000003,3.3200000000000003,0.0,0.999896822147868,9.494349192947789
167,3.34,3.34,0.0,0.9999323703240358,8.752964291283345
168,3.36,3.36,0.0,0.9999241839830976,9.004999716315591
169,3.38,3.38,0.0,0.9997498827231449,13.810339686857482
170,3.4,3.4,0.0,0.9994011088231416,23.530591772035056
171,3.42,3.42,0.0,0.9999483746194339,8.686667077718901
172,3.44,3.44,0.0,0.9999653918603393,8.221030221409848
173,3.46,3.46,0.0,0.9999496386441566,8.811997606416371
174,3.48,3.48,0.0,0.9998408877954972,12.79861972983574
175,3.5,3.5,0.0,0.9999674516898815,8.318344079497626
176,3.52,3.52,0.0,0.9999671647588706,8.411031513422856
177,3.54,3.54,0.0,0.9999793416623675,7.9973763815486505
178,3.56,3.56,0.0,0.9999810597639232,7.98132738700391
179,3.58,3.58,0.0,0.9999805777215961,8.045127555654815
180,3.6,3.6,0.0,0.9999813764476113,8.050463201950475
181,3.62,3.62,0.0,0.999981608480713,8.11464612004412
182,3.64,3.64,0.0,0.999977019869572,8.397227355304231
183,3.66,3.66,0.0,0.9999801959121545,8.286131605858355
184,3.68,3.68,0.0,0.999955810976474,9.84771011055032
185,3.7,3.7,0.0,0.9999757403346495,8.739162209546244
186,3.72,3.72,0.0,0.9999682441028748,9.326291897266698
187,3.74,3.74,0.0,0.9999771776863298,8.81692760935392
188,3.7600000000000002,3.7600000000000002,0.0,0.9999889695723826,8.010840085458094
189,3.7800000000000002,3.7800000000000002,0.0,0.9999878270802037,8.156286094784026
190,3.8000000000000003,3.8000000000000003,0.0,0.999992160476867,7.811366131467902
191,3.8200000000000003,3.8200000000000003,0.0,0.9999922976848653,7.867094885079542
192,3.84,3.84,0.0,0.9999897225231874,8.132986124816062
193,3.86,3.86,0.0,0.9999919330708197,7.952002369674884
194,3.88,3.88,0.0,0.9999867707024012,8.52979583190461
195,3.9,3.9,0.0,0.9999940024400162,7.826434894667103
196,3.92,3.92,0.0,0.9999950544628301,7.763141522667631
197,3.94,3.94,0.0,0.9999963383231651,7.67029019051625
198,3.96,3.96,0.0,0.9999968136594304,7.654925840215533
199,3.98,3.98,0.0,0.999996744328978,7.666453584586272
200,4.0,4.0,0.0,0.9999971524120762,7.616575192289571
201,4.0200000000000005,4.0200000000000005,0.0,0.9999966437692122,7.725157467699798
202,4.04,4.04,0.0,0.9999969637078017,7.681648577654368
203,4.0600000000000005,4.0600000000000005,0.0,0.9999959693997091,7.876097872156345
204,4.08,4.08,0.0,0.9999942264721967,8.221713853882232
205,4.1,4.1,0.0,0.9999965913618467,7.829776907655621
206,4.12,4.12,0.0,0.9999961791327088,7.9602556550934915
207,4.14,4.14,0.0,0.9999965465540123,7.945453726325716
208,4.16,4.16,0.0,0.9999975030141637,7.755604482044622
209,4.18,4.18,0.0,0.9999979722932035,7.697370850024617
210,4.2,4.2,0.0,0.999998546977343,7.60101981083343
211,4.22,4.22,0.0,0.9999985696299184,7.613925998900984
212,4.24,4.24,0.0,0.9999987378707742,7.5438565512097
213,4.26,4.26,0.0,0.9999989952250319,7.464080360132628
214,4.28,4.28,0.0,0.9999991027426458,7.464556797528279
215,4.3,4.3,0.0,0.9999990015946985,7.497836275827441
216,4.32,4.32,0.0,0.9999988364873731,7.564084426893322
217,4.34,4.34,0.0,0.9999988544130071,7.569173118295659
218,4.36,4.36,0.0,0.9999990492238073,7.52781334611661
219,4.38,4.38,0.0,0.9999990162296624,7.522831135347907
220,4.4,4.4,0.0,0.9999991977918065,7.483260090436147
221,4.42,4.42,0.0,0.9999992445636654,7.467373022149143
222,4.44,4.44,0.0,0.9999992741327404,7.488743476264733
223,4.46,4.46,0.0,0.9999993955562979,7.453638139487903
224,4.48,4.48,0.0,0.9999994514861231,7.46637409004809
225,4.5,4.5,0.0,0.9999994755023113,7.4676393511397725
226,4.5200000000000005,4.5200000000000005,0.0,0.9999993917077745,7.5067273896431415
227,4.54,4.54,0.0,0.999999424052621,7.533220202444706
228,4.5600000000000005,4.5600000000000005,0.0,0.9999995266843714,7.487866815215034
229,4.58,4.58,0.0,0.9999995853855065,7.469507362314744
230,4.6000000000000005,4.6000000000000005,0.0,0.999999628632065,7.468507639465349
231,4.62,4.62,0.0,0.9999996476110847,7.469277461855068
232,4.64,4.64,0.0,0.9999996647142533,7.4853026025371205
233,4.66,4.66,0.0,0.9999997747271376,7.444506509381935
234,4.68,4.68,0.0,0.9999997959674607,7.439757246225363
235,4.7,4.7,0.0,0.9999998254748056,7.438948829592057
236,4.72,4.72,0.0,0.9999998675338071,7.430001215209248
237,4.74,4.74,0.0,0.9999998770621096,7.426567054095436
238,4.76,4.76,0.0,0.9999998775107447,7.417064868520243
239,4.78,4.78,0.0,0.9999998932820072,7.422017131392247
240,4.8,4.8,0.0,0.9999998998308768,7.413942689278149
241,4.82,4.82,0.0,0.9999999081557397,7.41963914584261
242,4.84,4.84,0.0,0.999999907749832,7.41740358918655
243,4.86,4.86,0.0,0.9999999024808388,7.416074336883749
244,4.88,4.88,0.0,0.9999998915795668,7.414366337058676
245,4.9,4.9,0.0,0.9999998934766013,7.416486586945934
246,4.92,4.92,0.0,0.9999999126307528,7.405762068512128
247,4.94,4.94,0.0,0.9999999161745001,7.412099774904472
248,4.96,4.96,0.0,0.9999999262407193,7.405153280191322
249,4.98,4.98,0.0,0.9999999442730204,7.398660034987924
250,5.0,5.0,0.0,0.9999999558616609,7.406464293062449
251,5.0200000000000005,5.0200000000000005,0.0,0.9999999598012621,7.408658801941989
252,5.04,5.04,0.0,0.9999999648481086,7.404402960667701
253,5.0600000000000005,5.0600000000000005,0.0,0.9999999621902327,7.403632133588046
254,5.08,5.08,0.0,0.9999999633459637,7.4017945329917545
255,5.1000000000000005,5.1000000000000005,0.0,0.9999999678335019,7.403907434170184
256,5.12,5.12,0.0,0.9999999702936077,7.4041862559651666
257,5.14,5.14,0.0,0.9999999678463929,7.40448777955089
258,5.16,5.16,0.0,0.9999999706940952,7.405059176003084
259,5.18,5.18,0.0,0.9999999737599217,7.404988455634084
260,5.2,5.2,0.0,0.9999999752338945,7.410111399416058
261,5.22,5.22,0.0,0.9999999778123416,7.415682581478599
262,5.24,5.24,0.0,0.9999999780486235,7.415956385573429
263,5.26,5.26,0.0,0.9999999764051961,7.419827196277973
264,5.28,5.28,0.0,0.9999999788720123,7.417556621946252
265,5.3,5.3,0.0,0.9999999798607964,7.409416168061103
266,5.32,5.32,0.0,0.999999981667167,7.406234877387794
