trajectory,best_match_label,best_match_display,steady_state_label,steady_state_display,steady_state_fidelity,steady_state_close_to_one,final_fid_gg,final_fid_ge,final_fid_eg,final_fid_ee,final_fid_phi_plus,final_fid_phi_minus,final_fid_psi_plus,final_fid_psi_minus
0,gg,$|gg\rangle$,gg,$|gg\rangle$,0.9999999999996316,True,0.9999999999996316,6.065116742698348e-07,6.065116742698348e-07,8.07627297790655e-22,0.7071067811862869,0.7071067811862869,6.06511674897359e-07,6.065116736423103e-07
1,ee,$|ee\rangle$,ee,$|ee\rangle$,0.9999999999925805,True,1.6128767630522598e-20,2.7238945292263685e-06,2.7238945292263685e-06,0.9999999999925805,0.707106781181301,0.707106781181301,2.7238945320476943e-06,2.7238945264050415e-06
2,gg,$|gg\rangle$,gg,$|gg\rangle$,0.9991952780335369,True,0.9991952780335369,0.028361914211506453,0.028361914211506453,1.6185399525260754e-12,0.7065377568282695,0.7065377568259136,0.02836191424085213,0.028361914182160764
3,ee,$|ee\rangle$,ee,$|ee\rangle$,0.9999999999811922,True,3.774648868187005e-20,4.3368671301881065e-06,4.3368671301881065e-06,0.9999999999811922,0.7071067811732482,0.7071067811732482,4.336867134684424e-06,4.336867125691787e-06
4,gg,$|gg\rangle$,gg,$|gg\rangle$,0.999831774699563,True,0.999831774699563,0.012969624148840642,0.012969624148840642,3.3721837414921326e-13,0.7069878279360874,0.7069878332039511,0.012969624162258305,0.012969624135422972
