step,t,t_over_T1,concurrence,xi2_ku,xi2_win,norm_j,fid_gg,fid_ge,fid_eg,fid_ee,fid_plusplus,fid_plusminus,fid_minusplus,fid_minusminus,fid_phi_plus,fid_phi_minus,fid_psi_plus,fid_psi_minus,best_match_label,steady_state_label,steady_state_fidelity,steady_state_close_to_one
0,0.0,0.0,0.0,0.9999999999999996,1.0,0.9999999999999998,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,1.0000000109457934,0.0,0.0,0.0,0.7071067811865472,0.0,0.7071067811865472,0.0,gg,gg,0.9999999999996316,True
1,0.001,0.001,0.0,0.9980140981240221,1.000012784116677,0.9990001699491613,0.4739169574546402,0.49984411390337335,0.49984411390337335,0.5250851750232903,0.9988456027765373,0.0339593640162523,0.03395936344344832,0.0010000000129417076,0.7064011826790284,0.03618148931353464,0.7061805009024826,0.03158126901844551,gg,gg,0.9999999999996316,True
2,0.002,0.002,0.0,0.9960224742084326,1.0000180744300187,0.9980002364705658,0.46910102403048287,0.5001036869311791,0.5001036869311791,0.5289015351549231,0.9981071834145238,0.04346439629698096,0.04346439586185061,0.001941335959050369,0.7056962208044439,0.04225465671053571,0.7058431440385848,0.04464136398053943,gg,gg,0.9999999999996316,True
3,0.003,0.003,0.0,0.9940497668698074,1.0000277368567008,0.9970066177406269,0.45713106390096014,0.49978309903884677,0.49978309903884677,0.539874891291518,0.9967936331758891,0.05653620688752371,0.05653620708672321,0.003128713735750702,0.7049968165027108,0.058422568852242264,0.7046891537754109,0.054584693102028556,gg,gg,0.9999999999996316,True
4,0.004,0.004,0.0,0.9921250009012874,1.0000467999882525,0.996031410968444,0.4389192956388646,0.49848979464352233,0.49848979464352233,0.5571047488474681,0.994521647293219,0.07383866901022496,0.07383866842434612,0.0047346533300030354,0.7043122714787731,0.08342705572420234,0.702168018698567,0.06280305919627321,gg,gg,0.9999999999996316,True
5,0.005,0.005,0.0,0.9902219608403228,1.000064638692412,0.9950668109853806,0.42545984441493245,0.4972671265809676,0.4972671265809676,0.5695917225822694,0.992328981742247,0.08730275388519491,0.08730275417298979,0.0062979908040460535,0.7036360096802943,0.10172106819375444,0.6997519735413338,0.06997403719375112,gg,gg,0.9999999999996316,True
6,0.006,0.006,0.0011974294466156777,0.9882859741832627,1.0000858960690557,0.9940830405927154,0.42171906941841025,0.49727447431904775,0.49727447431904775,0.5723541044408602,0.9913565686461564,0.09264062402143475,0.0926406246934663,0.006899425319717246,0.7029479440500445,0.10630325647525732,0.6990705384027819,0.07657798610446159,gg,gg,0.9999999999996316,True
7,0.007,0.007,9.356155173528835e-14,0.9862086773954827,1.0001196836676152,0.9930209758352934,0.43849877853767705,0.5000965050299434,0.5000965050299434,0.5545500811780993,0.993149694208211,0.08251789510186656,0.08251789401482028,0.0059422356095158784,0.7022067289788274,0.08193099834297649,0.7023441546069297,0.0831006448579396,gg,gg,0.9999999999996316,True
8,0.008,0.008,0.0,0.984098547862886,1.0001479822449177,0.9919440207480902,0.4616430135810111,0.5027933947298707,0.5027933947298707,0.5303615110883018,0.994805955722244,0.07183697925287369,0.07183697974221608,0.006325699632667649,0.7014543824640159,0.04857317936938321,0.7054364934180463,0.0892286351012141,gg,gg,0.9999999999996316,True
9,0.009000000000000001,0.009000000000000001,8.930800299592964e-14,0.9820696729844053,1.0001856020832445,0.9909023325390839,0.47082722867992083,0.5038624703110944,0.5038624703110944,0.520160497113716,0.9948607804561064,0.0714131793695077,0.07141318016182355,0.007236738887980647,0.7007301736717879,0.034963596973142684,0.7062418473063595,0.09474825111471738,gg,gg,0.9999999999996316,True
10,0.01,0.01,0.0,0.9800532994984407,1.000226233074221,0.9898644499004663,0.4771715454725458,0.5046493167573395,0.5046493167573395,0.5128015701848451,0.9946370429952212,0.07290454584870446,0.07290454645617392,0.008187124353087086,0.7000099959006805,0.02537991000436191,0.7066511587538579,0.09993000369823295,gg,gg,0.9999999999996316,True
11,0.011,0.011,0.0,0.9781074324583751,1.0002720249304393,0.9888586527962332,0.4651390077005555,0.5045950626428909,0.5045950626428909,0.5238447756999934,0.9935955560468628,0.07965082366147384,0.07965082331379456,0.00890864218365614,0.6993136415134189,0.04157013752023018,0.7058837890856572,0.1046920760766597,gg,gg,0.9999999999996316,True
12,0.012,0.012,0.0,0.9760181094439824,1.0002735610111793,0.987801185443703,0.5020914944603395,0.505893624321519,0.505893624321519,0.4858471085971988,0.9938657785052842,0.07788610665597143,0.07788610626922494,0.009917130205209741,0.6985738348412848,0.011742503033340753,0.7070092740710773,0.10951988237672838,gg,gg,0.9999999999996316,True
13,0.013000000000000001,0.013000000000000001,2.5403636171646843e-15,0.9740191720668112,1.000325519020938,0.9867635043289732,0.5008370275526092,0.5063988183315864,0.5063988183315864,0.48608923606372173,0.9933647681270463,0.08096013814252111,0.08096013865325478,0.01083417067734163,0.6978579318005592,0.010713571196918927,0.7070256143819742,0.11399257442064223,gg,gg,0.9999999999996316,True
14,0.014,0.014,1.4582451457294254e-15,0.972019923115272,1.000388996621363,0.9857190054354036,0.49515588977594177,0.506941603490866,0.506941603490866,0.4907556073244747,0.9928990055773615,0.08370372097262821,0.0837037217148951,0.011788038139307578,0.6971398031766838,0.004064907447215812,0.7070950972305247,0.11830512318718744,gg,gg,0.9999999999996316,True
15,0.015,0.015,0.0,0.9701657120039676,1.0004012587480113,0.9847723496663371,0.5292336442173807,0.5060670773508391,0.5060670773508391,0.45574551700653076,0.9910820507598748,0.09386504447139647,0.0938650452916329,0.011623490950254639,0.6964807779171727,0.052026529517798216,0.7051902156342877,0.12212507248925991,gg,gg,0.9999999999996316,True
16,0.016,0.016,3.9636151213376034e-14,0.9687930890910338,1.0004189751899242,0.9840667451008872,0.571277065571421,0.5015249815663203,0.5015249815663203,0.4130228808212809,0.9857808206729762,0.11860106040263171,0.11860106088149576,0.010187174847617152,0.6959931619910469,0.11197724854410342,0.6981841417623947,0.12487401035325178,gg,gg,0.9999999999996316,True
17,0.017,0.017,0.0,0.9674956526214502,1.000405945842226,0.9834139825906332,0.597776940811916,0.49688109748381654,0.49688109748381654,0.3858511098339653,0.9804048772829381,0.13906696855434902,0.13906696946131325,0.011272129657629113,0.6955354436938908,0.1498292257430934,0.6910507966191064,0.12739876987452486,gg,gg,0.9999999999996316,True
18,0.018000000000000002,0.018000000000000002,0.0,0.9665208247469727,1.0004058812973506,0.9829184560177863,0.6250313075873719,0.49046690264803433,0.49046690264803433,0.35807862174291705,0.9733774409667585,0.1617198377099802,0.16171983663984643,0.015158529521053891,0.6951898389620561,0.18866775722840728,0.6814722865842766,0.1292713727161205,gg,gg,0.9999999999996316,True
19,0.019,0.019,0.0,0.9648005848181664,1.0004607549220246,0.9820164219238111,0.6279643567679284,0.48997931283458834,0.48997931283458834,0.35426164429321283,0.9719878536308619,0.16580170121915158,0.16580170049995327,0.016100334605675743,0.6945718606059361,0.1934178803593316,0.6801393412803753,0.13255161430328813,gg,gg,0.9999999999996316,True
20,0.02,0.02,1.9407679673413836e-14,0.9642966177216458,1.0004839667047523,0.9817485197427585,0.6556443545541231,0.4814895043616678,0.4814895043616678,0.32629157929744085,0.963059983656268,0.1897145229394756,0.1897145226737795,0.0230712606741165,0.6943891307616116,0.23272184421713055,0.6677129197673033,0.13350558938378415,gg,gg,0.9999999999996316,True
21,0.021,0.021,1.8526385937508993e-14,0.962889625266733,1.0005240361492722,0.9810123855383789,0.6620462274714999,0.4794980010957135,0.4794980010957135,0.3191521997122771,0.960287112834959,0.1964836733376811,0.1964836733376811,0.02523889767464085,0.6938845973564665,0.24225503161824016,0.6643135559042247,0.13610351043031194,gg,gg,0.9999999999996316,True
22,0.022,0.022,0.0,0.961682798009279,1.0005563282152967,0.9803816013221351,0.6708603071125003,0.4764640217170448,0.4764640217170448,0.3096942368843186,0.9565487738650648,0.20519753310235303,0.20519753290821463,0.028326802532914985,0.6934522401658484,0.25512362224499113,0.6594785344289795,0.13828951735025394,gg,gg,0.9999999999996316,True
23,0.023,0.023,1.0121027280152184e-15,0.960875704294775,1.0005777630070363,0.9799596248944497,0.6842568092477547,0.4713115487229592,0.4713115487229592,0.2958436530987491,0.9508456444040465,0.2176930073391558,0.2176930073391558,0.033347772919229364,0.6931631691587522,0.2743276672202895,0.6517241218471768,0.13973124533115258,gg,gg,0.9999999999996316,True
24,0.024,0.024,0.0,0.9577482851489397,1.00074278021052,0.9782828919566626,0.6627896652487707,0.4801102466065957,0.4801102466065957,0.3157501573176648,0.9581915277638362,0.20147970671773718,0.20147970672252527,0.026093551646835078,0.6920260738938727,0.24512899165422916,0.6632584544885806,0.145258116271386,gg,gg,0.9999999999996316,True
25,0.025,0.025,1.4037965126272034e-14,0.955573619813449,1.00088253168722,0.9771033923891523,0.6557217687939212,0.48297292016590365,0.48297292016590365,0.32171925447913524,0.9599684927140251,0.19732148103145294,0.19732147849437293,0.024268894354664523,0.6912317936200665,0.23595110565883118,0.6665786343248445,0.14899197122256497,gg,gg,0.9999999999996316,True
26,0.026000000000000002,0.026000000000000002,2.5354853850148573e-14,0.9524408574674399,1.0010645275125643,0.9754117264759208,0.6335837442138952,0.49061749165647967,0.49061749165647967,0.3422872957462921,0.9661595245224005,0.18185391497489528,0.18185391459013586,0.019851656842949632,0.6900895821577296,0.20582838270158096,0.6764870121748249,0.15419587736826756,gg,gg,0.9999999999996316,True
27,0.027,0.027,1.2537734251413107e-14,0.9502494190298719,1.001209422121427,0.9742184327009221,0.6267436490050573,0.49298992865320457,0.49298992865320457,0.3480147395223972,0.9674402892909838,0.1784445521696525,0.17844455052999786,0.019349365589026325,0.689288381575496,0.19698575460689968,0.6791145797889705,0.1577387936591161,gg,gg,0.9999999999996316,True
28,0.028,0.028,2.4026733293908142e-14,0.9492542786794518,1.0012562126206779,0.9736854264005136,0.6394993580076276,0.48939115469132277,0.48939115469132277,0.3347135589240742,0.9632129928255341,0.1894048764933732,0.18940487551954027,0.02173335276556845,0.6889282190831593,0.21533811639069783,0.6735202265925694,0.15930445364429138,gg,gg,0.9999999999996316,True
29,0.029,0.029,3.9082045976204793e-14,0.9473763017861844,1.001378791770497,0.9726622567384228,0.6378669726890414,0.4902274127717193,0.4902274127717193,0.33538022107275556,0.9630785960881592,0.18973618684412272,0.18973618799475525,0.021908997305566367,0.6882421548474119,0.21372155676319493,0.6740349369095909,0.16224283124684077,gg,gg,0.9999999999996316,True
30,0.03,0.03,6.493745564059919e-14,0.945282580185853,1.001523629302695,0.9715166035800198,0.6331466930243764,0.4920281085404469,0.4920281085404469,0.33903089228640565,0.9638244289159461,0.18784485210040155,0.18784485129968015,0.021705405435735865,0.6874755655578001,0.2078317289857424,0.6758742282605519,0.16546101281263423,gg,gg,0.9999999999996316,True
31,0.031,0.031,0.0,0.9466723660131149,1.0016978787912691,0.9721459538128594,0.6710955067704417,0.4788328902311595,0.4788328902311595,0.3017763199097515,0.9508927750815086,0.21784983053431414,0.21784983053431414,0.02976339482979834,0.6879393257478854,0.26110842681785124,0.6571319421887103,0.1635221211015332,gg,gg,0.9999999999996316,True
32,0.032,0.032,3.134192666683078e-14,0.9460344965786395,1.0017398959346475,0.9717980005645568,0.6820741106598653,0.47456684134176264,0.47456684134176264,0.29042646877541684,0.9461388082050624,0.22769693008559042,0.22769692751128906,0.03360957211850977,0.6877066404689213,0.2768252207671006,0.6506671938458598,0.16449795334577724,gg,gg,0.9999999999996316,True
33,0.033,0.033,3.244506171975331e-14,0.9437670536350778,1.0019212466017746,0.9705448579702286,0.675490941444669,0.4775885684722576,0.4775885684722576,0.29585521214850014,0.9480319567387502,0.22386604218905226,0.22386604307499625,0.03167684711989993,0.6868720078013988,0.2683750424836749,0.6541978573580667,0.16794893539071615,gg,gg,0.9999999999996316,True
34,0.034,0.034,1.0840923970155403e-14,0.9422551213344936,1.0020408474951084,0.9697092548207298,0.676827343578934,0.47729957680415386,0.47729957680415386,0.2937260202110712,0.9469112870000277,0.22617522915641736,0.22617522700582957,0.032381711983879916,0.6863161674074315,0.2708142284303491,0.6531918965202144,0.17020610551673557,gg,gg,0.9999999999996316,True
35,0.035,0.035,0.0,0.9428202064024341,1.0020707771402921,0.9699855001190382,0.6968386543567996,0.4687079415479838,0.4687079415479838,0.2739372571482531,0.938294141707033,0.2429294560437502,0.2429294554845051,0.03968213162003147,0.6865115831297112,0.29887720642768295,0.6408372769104368,0.16941621369370838,gg,gg,0.9999999999996316,True
36,0.036000000000000004,0.036000000000000004,1.2114685339972842e-14,0.9370147771118524,1.0020995594897475,0.9669806516638307,0.6592595929716988,0.48485883872637553,0.48485883872637553,0.3085459481059685,0.9519904124658508,0.21550039547654212,0.21550039658407757,0.028869152662527764,0.6844497688350578,0.24769402068315802,0.6623048188263038,0.17756270425299228,gg,gg,0.9999999999996316,True
37,0.037,0.037,0.0,0.935320438912363,1.002245154411538,0.9660358193297658,0.6591567405955036,0.48517710110378737,0.48517710110378737,0.3077641182083488,0.9514039381341299,0.2167652051946889,0.2167652074371664,0.02926185838026346,0.6838245640559864,0.2481739992987844,0.6621251136092382,0.17995547448994859,gg,gg,0.9999999999996316,True
38,0.038,0.038,0.0,0.9334606424915025,1.0024048345518517,0.9649980360349737,0.6574233848157032,0.48610820651938236,0.48610820651938236,0.3085321963855354,0.9513658679089101,0.21684354648626633,0.2168435488203726,0.029338633501735267,0.683138118330262,0.24641415217719842,0.6627820649404992,0.18254399821464587,gg,gg,0.9999999999996316,True
39,0.039,0.039,9.63964151556862e-16,0.9306444707792103,1.0026198956048025,0.9634379328922801,0.64640226402177,0.49038858152850395,0.49038858152850395,0.3181229185086376,0.9543084831022364,0.21037037801963257,0.2103703790075358,0.0279988363747065,0.6821021506965724,0.2318937994600838,0.6680009474334345,0.18637772403136071,gg,gg,0.9999999999996316,True
40,0.04,0.04,0.0,0.9251013458254894,1.002656122905346,0.9605470692482052,0.6061102606496442,0.503087510661671,0.503087510661671,0.3555787749117013,0.9646731482903758,0.1852716151993983,0.1852716165885198,0.027470037098781895,0.6801304230689782,0.17671595291551065,0.6846688776227255,0.19344925634995583,gg,gg,0.9999999999996316,True
41,0.041,0.041,0.0,0.9255528822842976,1.0028023341893406,0.9607114144864342,0.6310025971013726,0.49617328827791546,0.49617328827791546,0.330847182926323,0.9576546866839235,0.20260895625923867,0.2026089556856465,0.028226751107040458,0.6802658889060659,0.21180759285209952,0.6746388245648177,0.1929723306353521,gg,gg,0.9999999999996316,True
42,0.042,0.042,2.858417712595096e-15,0.9226643881268619,1.003011431272643,0.9591111457988519,0.6190976213514985,0.5001221508868863,0.5001221508868863,0.3412825861679227,0.9602435720819603,0.19636429048637546,0.19636429151191934,0.02853795064043172,0.6792046138791217,0.19605297250091716,0.6793844507887669,0.19667511190258993,gg,gg,0.9999999999996316,True
43,0.043000000000000003,0.043000000000000003,1.0722542645447142e-14,0.9225784719564066,1.003141854040504,0.9590041415620478,0.6358338240846388,0.4952056890061647,0.4952056890061647,0.32443489223843314,0.9550251892716676,0.20862219785502858,0.2086221990705175,0.029672639742411022,0.6791524954551644,0.21976020164014273,0.6720903613169017,0.19685501028182373,gg,gg,0.9999999999996316,True
44,0.044,0.044,0.0,0.9214679639031219,1.0032949723857252,0.9583536527740432,0.6414312768437772,0.4936082249482,0.4936082249482,0.3182259537082665,0.9527405134692133,0.21371101861408637,0.21371101726013478,0.030671538399654145,0.6787330271670953,0.2280862081748148,0.6693106017690402,0.19829643928369145,gg,gg,0.9999999999996316,True
45,0.045,0.045,0.0,0.9176172704056675,1.0035196933393946,0.9562420545053567,0.6217590457867378,0.500276761072204,0.500276761072204,0.33594942125947336,0.9576858236321902,0.2023665585910555,0.20236655958775213,0.03055230409409311,0.6773263219157905,0.20168139586741493,0.6777349146686857,0.20304940476844313,gg,gg,0.9999999999996316,True
46,0.046,0.046,2.0370857778395646e-14,0.919192528530416,1.0037074241144854,0.9569729774721971,0.6503738554142923,0.4909748397111871,0.4909748397111871,0.308060483890254,0.9486994952938065,0.22238979880416287,0.22238979888227817,0.032478487271245034,0.6778543299261097,0.2416628396835738,0.664529210731982,0.20127969232582918,gg,gg,0.9999999999996316,True
47,0.047,0.047,0.0,0.9165711398620793,1.0039301288145175,0.9555014385495547,0.6427223423899179,0.49400505354947777,0.49400505354947777,0.31436603621888337,0.9504660561732675,0.21859770932486527,0.21859770975150838,0.03231682347826976,0.6768855512920917,0.23182744571589417,0.6680239781720742,0.20451393706053564,gg,gg,0.9999999999996316,True
48,0.048,0.048,1.4788951313571275e-14,0.9151694270693382,1.0041092274062675,0.954685381609536,0.6450560197957471,0.4934617330551517,0.4934617330551517,0.3112776370793138,0.9491233219823242,0.2214391380705034,0.2214391380705034,0.03308120521126167,0.6763580667126102,0.23564975862449472,0.6666852265201451,0.20625172173674158,gg,gg,0.9999999999996316,True
49,0.049,0.049,1.6582438547296796e-14,0.9106564607586084,1.0043534741787365,0.9522127524828586,0.6217851154609202,0.5014911783688728,0.5014911783688728,0.33225963677168,0.9551774850227686,0.20801579422380712,0.20801579475106288,0.03308847859169894,0.674711811186435,0.20439463760558627,0.6769215849107493,0.21157497925208524,gg,gg,0.9999999999996316,True
50,0.05,0.05,0.0,0.910596101555817,1.004509171667781,0.9521073989393241,0.6357450487275914,0.4972819265076201,0.4972819265076201,0.31819742952464625,0.9506727626028124,0.21803188951469502,0.21803188928827438,0.03384530697374902,0.6746649402798335,0.22416197156285955,0.6706350799839295,0.2117243924473712,gg,gg,0.9999999999996316,True
51,0.051000000000000004,0.051000000000000004,1.2876201840872348e-14,0.912702622043672,1.0046975375663247,0.9531186775536798,0.6628384487886323,0.4875075856639601,0.4875075856639601,0.2920922776241659,0.9414179157681896,0.23705497550039367,0.23705497550039367,0.03663615210438825,0.6753823319252593,0.2617850522153464,0.6568626846127036,0.20942470179804124,gg,gg,0.9999999999996316,True
52,0.052000000000000005,0.052000000000000005,0.0,0.9103317755611052,1.004932094102661,0.9517688633385202,0.6577724371666686,0.4897763865534445,0.4897763865534445,0.29592837520779053,0.9425146095889111,0.23487921902251044,0.2348792180010441,0.0364654282897395,0.6745004406367603,0.2555138703282421,0.6593274316073024,0.21224786354829564,gg,gg,0.9999999999996316,True
53,0.053,0.053,0.0,0.9073125198291729,1.0051918658387524,0.9500664217131395,0.6483000461623888,0.49365052140348425,0.49365052140348425,0.3038509101220216,0.9449695281747069,0.22992230153727788,0.2299222992173433,0.0361120055447751,0.6733831743888263,0.24325588561464143,0.6639477194130846,0.2157663098123228,gg,gg,0.9999999999996316,True
54,0.054,0.054,0.0,0.9089076031529514,1.0053442696257222,0.9508290999794651,0.6691207614459799,0.4856755011248022,0.4856755011248022,0.2837534525187254,0.9373293925537349,0.24483450907798435,0.24483450907798435,0.0390609710098269,0.6739253507733609,0.27214562994893765,0.6526383041928321,0.214066879002707,gg,gg,0.9999999999996316,True
