step,t,t_over_T1,concurrence,xi2_ku,xi2_win,norm_j,fid_gg,fid_ge,fid_eg,fid_ee,fid_plusplus,fid_plusminus,fid_minusplus,fid_minusminus,fid_phi_plus,fid_phi_minus,fid_psi_plus,fid_psi_minus,best_match_label,steady_state_label,steady_state_fidelity,steady_state_close_to_one
0,0.0,0.0,0.0,0.9999999999999996,1.0,0.9999999999999998,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,1.0000000109457934,0.0,0.0,0.0,0.7071067811865472,0.0,0.7071067811865472,0.0,gg,gg,0.9991952780335369,True
1,0.001,0.001,0.0,0.998000249960622,1.0000032207049745,0.998998015867201,0.5022985517404058,0.5004919091224937,0.5004919091224937,0.49670097918700873,0.9994915532336326,0.022534806747241516,0.022534806874354496,0.0010000000100852124,0.7063993427202572,0.003958081635208122,0.7070957032748598,0.03162228018958005,gg,gg,0.9991952780335369,True
2,0.002,0.002,0.00013056526488171473,0.9960060976069735,1.0000146428732941,0.9979937441835197,0.48789475632162105,0.5008750078407439,0.5008750078407439,0.5101050478038178,0.9988746510311104,0.033514600256880245,0.03351459993607517,0.0017300353081847954,0.7056918630330312,0.015730700102366685,0.7069317824757132,0.04471019888840985,gg,gg,0.9991952780335369,True
3,0.003,0.003,2.4776854829974826e-13,0.9940085306649419,1.000025586113728,0.9969870101963916,0.4850520941854981,0.5013162586932294,0.5013162586932294,0.5119457817639566,0.998315289164315,0.04098544495173352,0.04098544496725004,0.002645294515998984,0.7049838363634556,0.019021446688458767,0.7068508927389692,0.05475214967903762,gg,gg,0.9991952780335369,True
4,0.004,0.004,0.0,0.9920070127375267,1.0000432870380398,0.9959739321643619,0.494041488385087,0.5019787447728543,0.5019787447728543,0.5019538697398266,0.9979751450428006,0.04491092960988093,0.04491092984271149,0.0034105226948130387,0.7042729269385318,0.005859299846671718,0.707082504807824,0.06324280039778574,gg,gg,0.9991952780335369,True
5,0.005,0.005,0.0,0.9900383011012823,1.000070468462391,0.9949716275052699,0.4728442184958876,0.501881551012597,0.501881551012597,0.5221572201371852,0.996884135211479,0.05570076087411547,0.05570076044024273,0.004111215258743542,0.7035711293478893,0.034892455552954255,0.7062453656807135,0.07062340934941504,gg,gg,0.9991952780335369,True
6,0.006,0.006,0.0,0.988018850225068,1.000092486572778,0.9939454110756138,0.5013563089976476,0.5029673353705614,0.5029673353705614,0.4926353321968791,0.9969607881137899,0.05498205652738032,0.05498205663775878,0.004813401317297047,0.7028519335322424,0.00684733789225195,0.7070736269751466,0.07745428933078126,gg,gg,0.9991952780335369,True
7,0.007,0.007,7.914453597698823e-14,0.9860610613639691,1.0001385237821474,0.9929373028419601,0.47370517773810267,0.5029589570948809,0.5029589570948809,0.5192956571551236,0.9959594541021588,0.06338103446443855,0.06338103380311141,0.005520928261938231,0.7021503681233007,0.0323951060922566,0.7063643232081239,0.08357552238944876,gg,gg,0.9991952780335369,True
8,0.008,0.008,6.313740220746655e-14,0.9841291273786194,1.0001746798446987,0.9919461930362051,0.4580799444994012,0.5025300143268682,0.5025300143268682,0.5339381367243778,0.9945486429148909,0.07359910889622488,0.07359910928779768,0.006274636684761132,0.7014604450492661,0.0536694837178806,0.7050670794806969,0.0891809622693386,gg,gg,0.9991952780335369,True
9,0.009000000000000001,0.009000000000000001,2.043075994842547e-14,0.9821805573264,1.0002094724834383,0.9909464468949233,0.4510264978280632,0.5024798539469703,0.5024798539469703,0.540002862040392,0.9935119005921489,0.08026113627701037,0.08026113724163945,0.007101610503325468,0.7007654004011359,0.06289551935947449,0.7043040207499185,0.09448731978755313,gg,gg,0.9991952780335369,True
