step,t,t_over_T1,concurrence,xi2_ku,xi2_win,norm_j,fid_gg,fid_ge,fid_eg,fid_ee,fid_plusplus,fid_plusminus,fid_minusplus,fid_minusminus,fid_phi_plus,fid_phi_minus,fid_psi_plus,fid_psi_minus,best_match_label,steady_state_label,steady_state_fidelity,steady_state_close_to_one
0,0.0,0.0,0.0,0.9999999999999996,1.0,0.9999999999999998,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,1.0000000109457934,0.0,0.0,0.0,0.7071067811865472,0.0,0.7071067811865472,0.0,ee,ee,0.9999999999925805,True
1,0.001,0.001,0.0,0.9980064076589314,1.000008312244229,0.9989985545809783,0.4844843818123143,0.500273997792345,0.500273997792345,0.5145160231184921,0.9992742202967063,0.026926259299605383,0.026926259439539666,0.0010000000078590027,0.7063999654244499,0.02123559646437541,0.7067878390597858,0.03160848448547555,ee,ee,0.9999999999925805,True
2,0.002,0.002,0.0,0.9960126212935869,1.00001586928864,0.9979964005609623,0.4775731270942516,0.5005398949149992,0.5005398949149992,0.5204263016742913,0.9985407837446344,0.038159401696655625,0.038159401728431866,0.0020129422558945284,0.7056937534771056,0.030264723695358684,0.7064588073622149,0.04468026749465053,ee,ee,0.9999999999925805,True
3,0.003,0.003,0.0,0.9940437450473661,1.0000334529854018,0.9970007484595352,0.4613707329971409,0.5001175090198139,0.5001175090198139,0.5356323375948406,0.9971248543986272,0.053534511393318,0.05353451242660778,0.0031859142385990075,0.7049939951954871,0.05242538585396933,0.7051606759583676,0.05462111989244652,ee,ee,0.9999999999925805,True
4,0.004,0.004,7.288800202754882e-05,0.9920374051794812,1.0000520671505624,0.9959848168058606,0.47067732805079526,0.5012462606526277,0.5012462606526277,0.5253258276750532,0.997250233521759,0.05234677562090524,0.052346775632354896,0.003406910801583618,0.7042812000628266,0.038631218235884765,0.7060507269152911,0.06315060299690493,ee,ee,0.9999999999925805,True
5,0.005,0.005,0.00017827738290610885,0.9900830642930656,1.0000748485008346,0.994991941478084,0.45689504401967196,0.5008377740413597,0.5008377740413597,0.5381170569094177,0.9958532661632321,0.06425322654877767,0.06425322713394857,0.004396421481668437,0.7035858490414421,0.05735853219203219,0.7047765594745438,0.07047661334536942,ee,ee,0.9999999999925805,True
6,0.006,0.006,0.0005747901951844576,0.9882397061443149,1.0001213291546502,0.9940421612799203,0.43142846568988485,0.4986539032996049,0.4986539032996049,0.5626349157674166,0.9927150932998144,0.08509379556464597,0.0850937964253823,0.005904565878702548,0.7029248400206384,0.09265656334062794,0.7010098153877047,0.07678977329019436,ee,ee,0.9999999999925805,True
7,0.007,0.007,0.000766947845286871,0.9864386257534673,1.0001554683277931,0.993118970531105,0.41220037398232995,0.49629129515574943,0.49629129515574943,0.5809309359933283,0.9894159716165923,0.10244895840689465,0.1024489586752476,0.008029221346795932,0.7022813976583764,0.11912488912168777,0.6970001870815712,0.08246719652684337,ee,ee,0.9999999999925805,True
8,0.008,0.008,0.0001250695549430711,0.9845276761357343,1.0001845438983163,0.9921421375406405,0.4087794785981643,0.49626742334170587,0.49626742334170587,0.5833837732887166,0.9884207261507952,0.10712114684783679,0.10712114744867748,0.00863840631556084,0.7016008157093993,0.12326225884460003,0.6962804144484651,0.08806983249617995,ee,ee,0.9999999999925805,True
9,0.009000000000000001,0.009000000000000001,1.2507735732553149e-14,0.9823680429039512,1.0002213679026382,0.9910351286809853,0.4285309912344877,0.49993790309051495,0.49993790309051495,0.5625703295220117,0.9910325339473921,0.09433950789638423,0.09433950736107061,0.007391749392114247,0.7008296159546366,0.09466802790696488,0.7007410109963635,0.09400983672401672,ee,ee,0.9999999999925805,True
10,0.01,0.01,1.7495228356312342e-14,0.9807701843478457,1.0002941234273526,0.9901928103555787,0.40145304742590593,0.49605416220872084,0.49605416220872084,0.5888089563035375,0.9862805024445609,0.1165282063388839,0.11652820709486278,0.009650272254893759,0.7002509927743815,0.1323219211153005,0.6946156557351381,0.09822705582901192,ee,ee,0.9999999999925805,True
11,0.011,0.011,0.0,0.9788621224138074,1.000336280392416,0.9892083000723787,0.39973876763467275,0.496302378797254,0.496302378797254,0.5895564563723196,0.9855573628871421,0.11952836573902632,0.11952836667034887,0.010131014593302195,0.699569094931976,0.13405588020086776,0.694283098587003,0.10297126500172515,ee,ee,0.9999999999925805,True
12,0.012,0.012,0.0,0.9770822459580472,1.0003769809813483,0.9882884413669384,0.3914729382910547,0.4952031497349784,0.4952031497349784,0.5969058716170254,0.9835323538437679,0.12754178210909983,0.127541780773682,0.01141610640127321,0.6989327165411932,0.14505428672711926,0.6920688216514932,0.10720571399324039,ee,ee,0.9999999999925805,True
13,0.013000000000000001,0.013000000000000001,0.0,0.9748920956346233,1.0004402336425071,0.9871489777094314,0.4052065020312015,0.49848784112869393,0.49848784112869393,0.5820888550774233,0.9857423393939624,0.11874982535578833,0.11874982418484503,0.010440254622280432,0.6981463735475608,0.12494555995418276,0.6959803208767725,0.11221251471452073,ee,ee,0.9999999999925805,True
14,0.014,0.014,0.0,0.972750619488115,1.0005068411634142,0.9860313581188782,0.4161470985562553,0.5009135347486298,0.5009135347486298,0.5700814448607114,0.9871099174955804,0.11292090341255849,0.11292090321726646,0.010572169574271066,0.6973768765049398,0.10879687991017478,0.6986867961572342,0.11689952722005637,ee,ee,0.9999999999925805,True
15,0.015,0.015,1.2523158508456755e-14,0.9708405269036704,1.0005640318032027,0.9850346443916933,0.413495930015031,0.5010549389244173,0.5010549389244173,0.5717595755384434,0.986277047409333,0.11646837381462259,0.11646837327179267,0.011306963045929527,0.6966915143784014,0.11184288247514719,0.6982056787566064,0.12091705335943867,ee,ee,0.9999999999925805,True
