step,t,Xi2_KU,Xi2_W,J_norm,t_T1
0,0.0,0.9999999999999983,0.9999999999999999,38.99999999999999,0.0
1,0.02,0.9269319822353559,0.9270027980562601,38.9985103880504,0.02
2,0.04,0.8636199016890592,0.8638617914606108,38.994539545644784,0.04
3,0.06,0.8084901098924384,0.8089669960762805,38.988503428286975,0.06
4,0.08,0.7600226668066904,0.7607708142623061,38.980819787750676,0.08
5,0.1,0.7168332202466658,0.7178713810647808,38.97179013998587,0.1
6,0.12,0.6783028502073694,0.6796392617208775,38.961637551635945,0.12
7,0.14,0.6438021165535724,0.6454420112099587,38.95042414570109,0.14
8,0.16,0.6126803160509053,0.6146209638819612,38.93837996571076,0.16
9,0.18,0.5844244059441711,0.5866583430434423,38.925673523987506,0.18
10,0.2,0.5586864446880284,0.5612070568095384,38.91231602707903,0.2
11,0.22,0.5352491939799228,0.5380476152101928,38.898440964433824,0.22
12,0.24,0.5134643473859948,0.5165295742877887,38.88410247676903,0.24
13,0.26,0.4933626460434457,0.4966864123435939,38.869281716412964,0.26
14,0.28,0.4747343194335542,0.4783060700573681,38.85410132913724,0.28
15,0.3,0.4577570159179226,0.46156539785347334,38.83875740232348,0.3
16,0.32,0.44171821642662956,0.4457590222891332,38.82281611136166,0.32
17,0.34,0.4267844171673063,0.43104414265690316,38.80680086472471,0.34
18,0.36,0.4129365763155619,0.4174082098647547,38.790520562430146,0.36
19,0.38,0.3999080221139233,0.40458162723420926,38.7740707674032,0.38
20,0.4,0.38771088261572023,0.3925782171949103,38.75745949508573,0.4
21,0.42,0.37616607218027054,0.38121974223135524,38.740613523481734,0.42
22,0.44,0.36532813752279225,0.370560991078293,38.723629953536445,0.44
23,0.46,0.35529014500377804,0.36069373068426036,38.706732974935285,0.46
24,0.48,0.34564860946524995,0.3512174508639937,38.68953816822609,0.48
25,0.5,0.3363912928009092,0.34212022152115373,38.672048854051845,0.5
26,0.52,0.32754846346006106,0.3334335362467168,38.654254990717,0.52
27,0.54,0.3192760912567981,0.3253088173082073,38.636647342127404,0.54
28,0.56,0.3114855958821541,0.3176606052682875,38.619023979717014,0.56
29,0.58,0.3040060263168944,0.31031902195700545,38.60120514114549,0.58
30,0.6,0.29692163501546404,0.303367246568278,38.583398749734,0.6
31,0.62,0.2901086138590272,0.2966822407150432,38.56544463054395,0.62
32,0.64,0.28368390643217645,0.2903818440338615,38.547517269869175,0.64
33,0.66,0.2774626771923039,0.28428067431919507,38.52941173625405,0.66
34,0.68,0.2715013600276346,0.27843546894903715,38.51123272586414,0.68
35,0.7000000000000001,0.2657427148297326,0.2727892616595908,38.49291805675673,0.7000000000000001
36,0.72,0.26030712344217494,0.26746205792072647,38.47474341489897,0.72
37,0.74,0.2551158873057034,0.26237598358747743,38.45656195675037,0.74
38,0.76,0.25013358275455816,0.257496095806778,38.43831946344344,0.76
39,0.78,0.2454023966971209,0.2528644816135301,38.42015266207359,0.78
40,0.8,0.24088053920094876,0.24843864082246594,38.402079514775885,0.8
41,0.8200000000000001,0.23644619143950837,0.24409835777633287,38.383720654608716,0.8200000000000001
42,0.84,0.23219432099553824,0.23993800606988314,38.36537404503246,0.84
43,0.86,0.22804020124979696,0.23587363949255127,38.346799075122064,0.86
44,0.88,0.22406768236182933,0.23198790899640978,38.32834001288727,0.88
45,0.9,0.22024666861031844,0.22825161927812104,38.309874340587264,0.9
46,0.92,0.21657098941532366,0.2246591236436183,38.29137850947899,0.92
47,0.9400000000000001,0.21297467949432786,0.2211438290653294,38.272723611413056,0.9400000000000001
48,0.96,0.20953413730191175,0.2177819275174354,38.25418661482674,0.96
49,0.98,0.2062210906797185,0.21454578359674245,38.23568561589852,0.98
50,1.0,0.2029442465016465,0.21134420578780427,38.21689266803141,1.0
51,1.02,0.19983377857823195,0.20830769669028698,38.19828688566834,1.02
52,1.04,0.1968255882994404,0.20537163800024832,38.17967611556443,1.04
53,1.06,0.19393636132336808,0.2025530584094587,38.16117911500442,1.06
54,1.08,0.1911165776457232,0.19980181597688038,38.142637789069056,1.08
55,1.1,0.18833334772947075,0.19708610012878786,38.123862389096765,1.1
56,1.12,0.185630690838575,0.19444935331603774,38.105069237242986,1.12
57,1.1400000000000001,0.18305358013081885,0.1919372345266547,38.08643900252123,1.1400000000000001
58,1.16,0.18058853502865996,0.18953639820461401,38.06795047531118,1.16
59,1.18,0.1780910605177718,0.18710072252535873,38.0490587719315,1.18
60,1.2,0.17566585075353813,0.18473624559058727,38.03016156959367,1.2
61,1.22,0.1733981932386645,0.18252946147681798,38.011603543989125,1.22
62,1.24,0.17117166711625603,0.1803624416331923,37.992955089398976,1.24
63,1.26,0.16896290779065132,0.17821179108288474,37.97411627830742,1.26
64,1.28,0.16681697765142015,0.17612260963209947,37.95531813293832,1.28
65,1.3,0.16477890374831294,0.1741422754330539,37.93662665557419,1.3
66,1.32,0.16283545515157205,0.17225591539914462,37.91813902337847,1.32
67,1.34,0.16091792477453107,0.17039418083566232,37.89954693800675,1.34
68,1.36,0.1589874014217282,0.1685170110620821,37.88071075824401,1.36
69,1.3800000000000001,0.15711321766203284,0.16669589696129378,37.86189998811521,1.3800000000000001
70,1.4000000000000001,0.15523045778965025,0.16486354026688244,37.84291442006169,1.4000000000000001
71,1.42,0.15354357859049295,0.16323081240105053,37.82444768383873,1.42
72,1.44,0.15177746145497362,0.16151485177098235,37.80551465553303,1.44
73,1.46,0.15011451941422377,0.15990331423494605,37.786791193432606,1.46
74,1.48,0.14845346171798193,0.158291653376043,37.767958242071415,1.48
75,1.5,0.14688057859998216,0.1567692642894523,37.7492861291826,1.5
76,1.52,0.14539102229043793,0.15533141795977212,37.73079430602061,1.52
77,1.54,0.14385972602389172,0.15384821008644242,37.71200997354594,1.54
78,1.56,0.14230660456032432,0.1523409622569844,37.693005892468925,1.56
79,1.58,0.14085695383690666,0.15093926688611595,37.674256272956946,1.58
80,1.6,0.13944855855831853,0.14957847857837456,37.655550756806804,1.6
81,1.62,0.13805266789571272,0.14822889535351025,37.63676010666377,1.62
82,1.6400000000000001,0.13679627517677637,0.14702336925373402,37.618360277189616,1.6400000000000001
83,1.6600000000000001,0.13541246952302485,0.14568300972307607,37.59939071319363,1.6600000000000001
84,1.68,0.13401129856222782,0.14432248557753188,37.580253726225585,1.68
85,1.7,0.13269191563803112,0.14304568952140015,37.56131340595306,1.7
86,1.72,0.13143699604724512,0.14183452257250637,37.54250987882382,1.72
87,1.74,0.13024907619483408,0.14069226564523885,37.52385709095591,1.74
88,1.76,0.129115135425006,0.13960481842478187,37.50530450026553,1.76
89,1.78,0.12794083855047114,0.1384736409686704,37.48650885458529,1.78
90,1.8,0.1268163684553351,0.13739327700758766,37.46781762422995,1.8
91,1.82,0.12573983410679035,0.13636210488896175,37.44921053092738,1.82
92,1.84,0.1246470874832926,0.13531235110842363,37.43047679539254,1.84
93,1.86,0.12352434708641939,0.13422935662990462,37.411548332661276,1.86
94,1.8800000000000001,0.12240706935591011,0.13315067135063618,37.39256368453008,1.8800000000000001
95,1.9000000000000001,0.12145681889591098,0.1322470633538122,37.37410072127322,1.9000000000000001
96,1.92,0.1204444764136121,0.13127616159184405,37.35535781597707,1.92
97,1.94,0.11950812136158964,0.13038476028797955,37.336799754627094,1.94
98,1.96,0.11855916010590391,0.12947866118527107,37.31813865514951,1.96
99,1.98,0.11760381376158485,0.12856387762858415,37.29940875359112,1.98
100,2.0,0.11665577744975841,0.12765582171446416,37.28064196839787,2.0
101,2.02,0.1156934184735333,0.1267307850830628,37.26176590167902,2.02
102,2.04,0.11473853142639497,0.12581246614582622,37.24284987217806,2.04
103,2.06,0.11390995645082501,0.12502821759613544,37.2243121836988,2.06
104,2.08,0.11304914717132185,0.12420805107450214,37.20561193368947,2.08
105,2.1,0.11222888627897581,0.12342967863210205,37.187003755082934,2.1
106,2.12,0.11136217148041692,0.12260019494394477,37.16819240365455,2.12
107,2.14,0.11064688619113955,0.12193256091686575,37.14983262124581,2.14
108,2.16,0.10991111577563134,0.1212420162627313,37.13135590847366,2.16
109,2.18,0.1092365500232186,0.12061622390365334,37.1130392824617,2.18
110,2.2,0.10843073914601943,0.11984759353343515,37.094244889530835,2.2
111,2.22,0.10773566490347396,0.11919764904616816,37.075772093707975,2.22
112,2.24,0.10698113701136286,0.11848197855009274,37.05706791369315,2.24
113,2.2600000000000002,0.10618690770933494,0.11772223147725698,37.03819010423753,2.2600000000000002
114,2.2800000000000002,0.10545874642818526,0.11703261542676896,37.019499829973896,2.2800000000000002
115,2.3000000000000003,0.1047489981692865,0.11636197005107048,37.000838331505676,2.3000000000000003
116,2.32,0.1040520142399164,0.11570426786210077,36.98217734513861,2.32
117,2.34,0.10342291406703719,0.11511953890315238,36.963696065527614,2.34
118,2.36,0.10280468890555655,0.11454505015651302,36.94522268130972,2.36
119,2.38,0.10215471887748315,0.11393516516965523,36.9266106228364,2.38
120,2.4,0.10156091639831893,0.11338536440807079,36.90815536034941,2.4
121,2.42,0.10083692178726732,0.1126927656508045,36.88924937213838,2.42
122,2.44,0.10027357024995132,0.1121746988828855,36.870821367613104,2.44
123,2.46,0.09967673282984134,0.11161901796438131,36.852258369518374,2.46
124,2.48,0.09914589415690246,0.1111349978044665,36.83387708967362,2.48
125,2.5,0.0986017378032097,0.1106360971500054,36.81541777405645,2.5
126,2.52,0.09805627150315471,0.11013449404041512,36.79693053601874,2.52
127,2.54,0.09759384555810113,0.10972349358625494,36.778674252256444,2.54
