step,t,Xi2_KU,Xi2_W,J_norm,t_T1
0,0.0,0.9999999999999951,0.9999999999999979,44.49999999999999,0.0
1,0.02,0.9266058386678067,0.9266660419730472,44.49855452198377,0.02
2,0.04,0.8632540913035723,0.8634647230960133,44.49457225047618,0.04
3,0.06,0.808101031757466,0.8085179945993732,44.48852436286713,0.06
4,0.08,0.7596676376787512,0.7603222987696232,44.48083837161497,0.08
5,0.1,0.7167160596600283,0.7176276768860312,44.47172678365665,0.1
6,0.12,0.6783341007540092,0.679509441896013,44.4614978208892,0.12
7,0.14,0.6437179069814808,0.6451579589844353,44.45030789768907,0.14
8,0.16,0.6124661279958691,0.6141690526590253,44.43826306939748,0.16
9,0.18,0.5842322417147017,0.5861937471495997,44.425483933352716,0.18
10,0.2,0.5583683922407836,0.5605806513535074,44.41210432526298,0.2
11,0.22,0.534797037291241,0.5372520837664845,44.398206471546416,0.22
12,0.24,0.5130203191599428,0.5157104296356688,44.383782481160026,0.24
13,0.26,0.4930110107730046,0.4959267558112474,44.3689877085865,0.26
14,0.28,0.47446183948446974,0.47759616087151113,44.35373566462862,0.28
15,0.3,0.4573237024030787,0.4606665058832214,44.33824555497154,0.3
16,0.32,0.44126563941939906,0.4448091766945591,44.32238723605156,0.32
17,0.34,0.42639746352719704,0.4301332369177778,44.30632779471944,0.34
18,0.36,0.4126081594521325,0.4165268047132784,44.29017058847661,0.36
19,0.38,0.39967508558706305,0.40376989543097563,44.273763979906555,0.38
20,0.4,0.3876755823099757,0.39193695575223136,44.2574024108509,0.4
21,0.42,0.3761464247191163,0.380570664872314,44.24056191556396,0.42
22,0.44,0.3652841228434338,0.3698648818827815,44.223552189617465,0.44
23,0.46,0.3551406771458905,0.3598713625650709,44.206517765067446,0.46
24,0.48,0.3454812622462313,0.350356727076262,44.18926080354679,0.48
25,0.5,0.33641227729866285,0.3414262768999496,44.17200456672209,0.5
26,0.52,0.32779177666048176,0.33293991795531125,44.154572580848864,0.52
27,0.54,0.3196493749338837,0.32492514829498625,44.13720219144196,0.54
28,0.56,0.311772612612605,0.31717254750895935,44.11951226568564,0.56
29,0.58,0.3043036812118005,0.3098242795747419,44.10170545905132,0.58
30,0.6,0.29719066009433653,0.30282675874976517,44.08389104274429,0.6
31,0.62,0.2904995347984506,0.2962476489348259,44.066100755349574,0.62
32,0.64,0.28403959279575436,0.28989656530516916,44.048102687158796,0.64
33,0.66,0.27794324643415075,0.2839048319696767,44.03021888177321,0.66
34,0.68,0.2720641880433012,0.278127946770668,44.01212880232142,0.68
35,0.7000000000000001,0.2664756337944134,0.2726370256518559,43.99417866406604,0.7000000000000001
36,0.72,0.26101306461301294,0.26726964505401624,43.97594493499682,0.72
37,0.74,0.255790947184568,0.26214030438217995,43.957651416241,0.74
38,0.76,0.25077557894572317,0.2572149868154605,43.93931553451128,0.76
39,0.78,0.24595930939495209,0.2524858155077688,43.92097125329251,0.78
40,0.8,0.24132872389878657,0.24793970560135978,43.90259555923648,0.8
41,0.8200000000000001,0.2368011459360713,0.24349460757494534,43.88398608204264,0.8200000000000001
42,0.84,0.23257306628016672,0.23934633790577395,43.86569972053735,0.84
43,0.86,0.22845269614951522,0.2353033010450179,43.84729433322417,0.86
44,0.88,0.22451174170370375,0.23143763169096587,43.82894591563939,0.88
45,0.9,0.22061431725568753,0.22761367212893308,43.81029416099811,0.9
46,0.92,0.21694470096696672,0.2240157390476911,43.791880946985245,0.92
47,0.9400000000000001,0.21345569807541717,0.22059691557955535,43.77361194451947,0.9400000000000001
48,0.96,0.20993311705622963,0.21714289344715534,43.75481423189302,0.96
49,0.98,0.20656551147206514,0.21384197598152,43.7361435534671,0.98
50,1.0,0.203334945300205,0.2106768920120102,43.717528863976014,1.0
51,1.02,0.20018696033803432,0.20759278203814538,43.69882862709212,1.02
52,1.04,0.19708074936481818,0.20454864729933334,43.67991439736931,1.04
53,1.06,0.1941819925238867,0.20171132695005642,43.661361730340104,1.06
54,1.08,0.19134560375546658,0.1989351380868871,43.642659336214365,1.08
55,1.1,0.18856401094696118,0.19621173596062363,43.62390919315505,1.1
56,1.12,0.18583832992254481,0.19354306444412117,43.60502510548597,1.12
57,1.1400000000000001,0.18317389198474324,0.1909340229592461,43.586077326354186,1.1400000000000001
58,1.16,0.18071608252356042,0.18853207991450088,43.56756591351936,1.16
59,1.18,0.17819585152819528,0.1860650206237785,43.54857062652691,1.18
60,1.2,0.17585761386790055,0.1837803675796043,43.5299729193713,1.2
61,1.22,0.1734910155708599,0.1814652292575741,43.511001969188804,1.22
62,1.24,0.17135024696740664,0.17937706180932378,43.49266306074796,1.24
63,1.26,0.16917474925035017,0.17725221796234275,43.473937947714994,1.26
64,1.28,0.1671028646132678,0.17523120546880705,43.45531614335733,1.28
65,1.3,0.16499443792209903,0.17317119034131578,43.43637754127322,1.3
66,1.32,0.16297732417867528,0.17120210114592563,43.41756825092184,1.32
67,1.34,0.16103971408666942,0.1693124854912724,43.398848536043694,1.34
68,1.36,0.15914121349057186,0.1674608004264818,43.380101447839145,1.36
69,1.3800000000000001,0.15735420937080005,0.16572133392521465,43.36161121576097,1.3800000000000001
70,1.4000000000000001,0.15552110937440602,0.1639334919127643,43.34272805164418,1.4000000000000001
71,1.42,0.15372555284333123,0.1621820575286625,43.323823708379116,1.42
72,1.44,0.15205690788654855,0.16055923688332133,43.3052281304701,1.44
73,1.46,0.15038510394572127,0.15893152533171487,43.28645240680171,1.46
74,1.48,0.14876590329950676,0.15735595998208132,43.267756246771256,1.48
75,1.5,0.1472144389373211,0.155848454992281,43.249145220638,1.5
76,1.52,0.14559861620001469,0.1542735094947126,43.23012749859173,1.52
77,1.54,0.14402597590431557,0.1527413862809932,43.21112979451176,1.54
78,1.56,0.14255740244818713,0.15131465165441113,43.192417713362765,1.56
79,1.58,0.14108472274313452,0.14988266020406868,43.17353957396199,1.58
80,1.6,0.1396910609473013,0.14853040796432818,43.15484262496973,1.6
81,1.62,0.13834238902890267,0.14722302011058697,43.13620384005096,1.62
82,1.6400000000000001,0.13703506590144593,0.14595764140786377,43.11759860523915,1.6400000000000001
83,1.6600000000000001,0.13566728838114897,0.1446279588498212,43.098633641336846,1.6600000000000001
84,1.68,0.13440285256570417,0.1434039176846046,43.07995944754904,1.68
85,1.7,0.1331509346942252,0.1421912819806146,43.06123930146447,1.7
86,1.72,0.1319487751532896,0.14102933469612206,43.042592480778715,1.72
87,1.74,0.13068694550165863,0.139804222798167,43.02360069458207,1.74
88,1.76,0.12954982645080418,0.13870691425103163,43.00501387029121,1.76
89,1.78,0.1284120832812542,0.13760830200336194,42.986306281587915,1.78
90,1.8,0.12726727196032703,0.13650092328016475,42.96747264663558,1.8
91,1.82,0.1261135435708112,0.1353830954469118,42.94851298769078,1.82
92,1.84,0.12500013011948508,0.1343059312702719,42.92962565357854,1.84
93,1.86,0.12393405179542329,0.13327699174643207,42.9108315623044,1.86
94,1.8800000000000001,0.12285281659711689,0.13223059827886716,42.891894471282704,1.8800000000000001
95,1.9000000000000001,0.12177282040655957,0.13118433111600317,42.87289470044343,1.9000000000000001
96,1.92,0.12083297817112611,0.13028404697381668,42.85435677763829,1.92
97,1.94,0.11979302022538751,0.12927728865397037,42.83534943329976,1.94
98,1.96,0.11879431414478894,0.1283128077652488,42.81643238055624,1.96
99,1.98,0.11779115046646295,0.1273422833699247,42.79741401198089,1.98
100,2.0,0.11691529127744017,0.12650488309354313,42.77881958088242,2.0
101,2.02,0.11606271193328467,0.12569087284333105,42.760260099137284,2.02
102,2.04,0.11523644396643887,0.12490382998410375,42.741728302615286,2.04
103,2.06,0.11435337867196806,0.12405550457073412,42.72292786023385,2.06
104,2.08,0.1135288448640265,0.123268483528344,42.70426962060651,2.08
105,2.1,0.11277518826321002,0.12255549007453848,42.685827214968256,2.1
106,2.12,0.11191857791664729,0.12173222341946449,42.666939582452684,2.12
