step,t,Xi2_KU,Xi2_W,J_norm,t_T1
0,0.0,0.9999999999999999,1.0000000000000018,49.999999999999964,0.0
1,0.02,0.9265873189145073,0.9266415414260902,49.99853711855067,0.02
2,0.04,0.8632772706988261,0.8634664889979601,49.99452134395294,0.04
3,0.06,0.8079160194669838,0.8082877220192171,49.98850223305102,0.06
4,0.08,0.7594366210192135,0.7600202472696992,49.98079875385757,0.08
5,0.1,0.7164712381734988,0.7172831887048119,49.971692635898314,0.1
6,0.12,0.6780209374037942,0.6790664345547865,49.96149495668809,0.12
7,0.14,0.6435118428561593,0.6447931329999119,49.950296552399266,0.14
8,0.16,0.6121504987694721,0.6136667862167385,49.93818972859457,0.16
9,0.18,0.5837097022807601,0.585454983586548,49.92541697171262,0.18
10,0.2,0.5578542267839193,0.5598246514153006,49.91192833169852,0.2
11,0.22,0.5341109046377215,0.5362961776428459,49.898026003927235,0.22
12,0.24,0.5123944028507219,0.5147898343067909,49.883532713317365,0.24
13,0.26,0.4924156805013954,0.49501262671022805,49.86867045139102,0.26
14,0.28,0.4739607054169799,0.47675089103902024,49.85347047520862,0.28
15,0.3,0.45705174439032203,0.4600265990654186,49.838065203656264,0.3
16,0.32,0.4410049545986612,0.4441565034958177,49.8222890231455,0.32
17,0.34,0.426176414224151,0.4294983015670559,49.806259069763364,0.34
18,0.36,0.4121933541723258,0.41567879445475175,49.78992831363046,0.36
19,0.38,0.39920555425985754,0.40284806082184105,49.77342942399774,0.38
20,0.4,0.38694738266219714,0.3907417011793729,49.75663183277706,0.4
21,0.42,0.3754822115959741,0.3794207587349341,49.739794911814705,0.42
22,0.44,0.36464550180944094,0.36872251916848114,49.722782887961664,0.44
23,0.46,0.3543402828048643,0.3585521240107283,49.705444262684956,0.46
24,0.48,0.3447327954452885,0.34907381226163425,49.688109801137514,0.48
25,0.5,0.3355429622078448,0.34000854214793813,49.67054789432886,0.5
26,0.52,0.3268732923878855,0.3314572096786058,49.65303008838804,0.52
27,0.54,0.3185874744187236,0.32328570231581805,49.635321970334765,0.54
28,0.56,0.31073562086877454,0.31554419031980047,49.61753475794567,0.56
29,0.58,0.3033309817079998,0.30824566548438165,49.599768136828786,0.58
30,0.6,0.29624963479020594,0.3012668195247228,49.581881375859005,0.6
31,0.62,0.2894829280117834,0.2945996092092174,49.56386510467841,0.62
32,0.64,0.28302925962976944,0.28824155910737387,49.545828975942726,0.64
33,0.66,0.2769083218646855,0.2822125004351354,49.52785769945779,0.66
34,0.68,0.2709328998239699,0.2763267106046976,49.50956021305906,0.68
35,0.7000000000000001,0.2652625218773544,0.2707435354670119,49.49126108851995,0.7000000000000001
36,0.72,0.25982518195675924,0.2653898572297151,49.47297718767976,0.72
37,0.74,0.2546424106041179,0.26028833378217475,49.454700118102274,0.74
38,0.76,0.2496203838458038,0.2553448211229648,49.436310074891686,0.76
39,0.78,0.24481814393681448,0.25061893478755304,49.417907885682865,0.78
40,0.8,0.2402213842238761,0.2460962166320263,49.39953392290583,0.8
41,0.8200000000000001,0.23575568888592166,0.24170229041805816,49.381035662715576,0.8200000000000001
42,0.84,0.2314762452782815,0.23749309851702397,49.362504667931844,0.84
43,0.86,0.2273733578863742,0.23345826265286518,49.34402318621553,0.86
44,0.88,0.22342686091813008,0.22957839934792756,49.325503862033464,0.88
45,0.9,0.21958916188746957,0.2258053931012483,49.30688587751765,0.9
46,0.92,0.21589714364536972,0.22217612625281846,49.28831282031187,0.92
47,0.9400000000000001,0.2123501398516104,0.21869021505224293,49.26979119092686,0.9400000000000001
48,0.96,0.2088605024614563,0.21526028708821518,49.25102540747881,0.96
49,0.98,0.2055186406225772,0.21197633047115239,49.23238965509286,0.98
50,1.0,0.20227469714860696,0.20878917389176155,49.213672831681585,1.0
51,1.02,0.19912395077017433,0.20569369668933177,49.19491755370021,1.02
52,1.04,0.19605976461969418,0.20268360439647157,49.176083591167824,1.04
53,1.06,0.1931368204452687,0.19981390471388122,49.157374835748755,1.06
54,1.08,0.19029537912342667,0.19702453102057066,49.138616732180424,1.08
55,1.1,0.18755955599411803,0.19433990229338602,49.11990335245851,1.1
56,1.12,0.1848864796826385,0.1917165839139149,49.10114267759269,1.12
57,1.1400000000000001,0.1822970943079594,0.1891759854263823,49.08238160928564,1.1400000000000001
58,1.16,0.1797333693659795,0.18665973195914617,49.06342033708376,1.16
59,1.18,0.17722543373752012,0.1841979687557206,49.04439884358587,1.18
60,1.2,0.17477362304419344,0.18179125823816,49.02530056918611,1.2
61,1.22,0.1725104268248592,0.17957348202103557,49.00668034104141,1.22
62,1.24,0.17021395660779778,0.17732044895663704,48.9876770693118,1.24
63,1.26,0.16801100921775652,0.17516058469958132,48.96878283473243,1.26
64,1.28,0.16588061720722522,0.17307262301310672,48.949934450354355,1.28
65,1.3,0.16377279697904598,0.17100628865799286,48.93090464755584,1.3
66,1.32,0.16173110608009503,0.16900504305745634,48.911980338084106,1.32
67,1.34,0.15975035340733124,0.1670643871536713,48.893053204991304,1.34
68,1.36,0.1578517476463127,0.16520573908914785,48.87425643922361,1.36
69,1.3800000000000001,0.15598168215407535,0.1633747656486567,48.85536208921133,1.3800000000000001
70,1.4000000000000001,0.15424892956819608,0.16168199870949476,48.83686158150508,1.4000000000000001
71,1.42,0.1524689221512814,0.15994003623446365,48.81795408377113,1.42
72,1.44,0.15073577296508053,0.15824440762116693,48.799058703310976,1.44
73,1.46,0.14901765326844,0.1565624943712393,48.78004937755838,1.46
74,1.48,0.1473331883476871,0.15491349379308275,48.761032718645595,1.48
75,1.5,0.14572242018796547,0.15333845149649444,48.74215163878685,1.5
76,1.52,0.14410579803687967,0.15175613644118585,48.72306895177261,1.52
77,1.54,0.14251998902364402,0.15020391956688037,48.70396216141026,1.54
78,1.56,0.14098639114706774,0.14870375176119777,48.68492993562218,1.56
79,1.58,0.1395333066584719,0.14728498801600207,48.666094462008886,1.58
80,1.6,0.13809432490537743,0.14587939017155516,48.647166274457305,1.6
81,1.62,0.13664824878415416,0.14446511277245877,48.62807673314748,1.62
82,1.6400000000000001,0.1353110067546093,0.1431616527508108,48.60931613113408,1.6400000000000001
83,1.6600000000000001,0.1339721420115079,0.14185513516850204,48.590431704688974,1.6600000000000001
84,1.68,0.1327304438573498,0.1406476727497816,48.571845579671475,1.68
85,1.7,0.13141575112978524,0.13936372294464022,48.55281026394014,1.7
86,1.72,0.1301715051751378,0.13815130328387135,48.53396837823382,1.72
87,1.74,0.12896716340573677,0.13697904397933924,48.51516383960204,1.74
88,1.76,0.12785469227683552,0.13590090589146647,48.496641079575255,1.76
89,1.78,0.12663870239082842,0.1347142799750063,48.477578298952125,1.78
90,1.8,0.1254678832606316,0.13357333078211406,48.458606005356444,1.8
91,1.82,0.12438451308906295,0.1325219940186392,48.43989463772,1.82
92,1.84,0.12326758174725316,0.13143452162984956,48.420966467098424,1.84
93,1.86,0.1221453242035244,0.1303404118708097,48.40189805935461,1.86
94,1.8800000000000001,0.12106105691629705,0.12928478589044257,48.38289938014564,1.8800000000000001
95,1.9000000000000001,0.12001715855831172,0.12826982527409078,48.36400111958938,1.9000000000000001
96,1.92,0.11899174997679962,0.1272732284784985,48.34509685965618,1.92
97,1.94,0.11798618689124561,0.12629624893882563,48.32618947938544,1.94
98,1.96,0.11702239485572197,0.12536211640836012,48.30736885471593,1.96
99,1.98,0.11610422438868523,0.12447427907285992,48.2886757787731,1.98
100,2.0,0.11514067988627964,0.12353830680588096,48.26970983857605,2.0
101,2.02,0.11424960438464757,0.12267697373477204,48.250983954788644,2.02
102,2.04,0.11334876261244702,0.12180505107013057,48.232118807130064,2.04
103,2.06,0.11251920908002461,0.12100693160675725,48.21348501497052,2.06
104,2.08,0.11173304221416835,0.12025333937414036,48.19498178647884,2.08
105,2.1,0.11087975837669278,0.11942800727984125,48.17612834584365,2.1
106,2.12,0.1099758160640708,0.1185481757681719,48.15701378519727,2.12
107,2.14,0.10913347789522893,0.11773258018718018,48.13808465206237,2.14
108,2.16,0.10829262927992266,0.11691777927611058,48.119101598724235,2.16
109,2.18,0.10747521472400975,0.11612664549400939,48.10016035877658,2.18
110,2.2,0.106651634299522,0.11532796857774827,48.081138452310725,2.2
111,2.22,0.10589227272996117,0.11459608165436883,48.06232583170417,2.22
112,2.24,0.1052289476405971,0.1139653580736749,48.04384266472244,2.24
113,2.2600000000000002,0.10449235510787033,0.11325592665588338,48.02501192722736,2.2600000000000002
114,2.2800000000000002,0.10377066769817324,0.11256170796398432,48.006198144956834,2.2800000000000002
115,2.3000000000000003,0.10306052173523027,0.11187888652884663,47.98737294136786,2.3000000000000003
116,2.32,0.10233052942641238,0.11117425641046291,47.96842482011597,2.32
117,2.34,0.10165044355789599,0.11052177367587974,47.94964091748612,2.34
118,2.36,0.10095941214963798,0.10985656894385291,47.93077162087787,2.36
119,2.38,0.10031776835133897,0.10924343146881689,47.91205040328811,2.38
120,2.4,0.09973966851239126,0.10869766488475902,47.89352728648649,2.4
121,2.42,0.09915163248445504,0.10814021826119885,47.874935341112966,2.42
122,2.44,0.09851035224056076,0.1075253051326706,47.85609271173441,2.44
123,2.46,0.09798383649187697,0.1070325205016563,47.8376559926145,2.46
124,2.48,0.09732827992504131,0.10640054016777993,47.818690742591926,2.48
125,2.5,0.09665795194605958,0.10575196076980353,47.79962796144372,2.5
126,2.52,0.09609534576587747,0.1052184280667662,47.78094546019537,2.52
127,2.54,0.09552429711481081,0.10467503938589276,47.76219933328217,2.54
128,2.56,0.09493890837262164,0.10411566894110064,47.74336175040346,2.56
129,2.58,0.09437494039407492,0.10357843739632322,47.72458135067031,2.58
130,2.6,0.09381071121019591,0.10303972163142054,47.70577987313828,2.6
131,2.62,0.09332150665300627,0.1025820932535249,47.687213754002805,2.62
132,2.64,0.09280685834498854,0.10209601083279819,47.66853156421638,2.64
133,2.66,0.0922769519927357,0.10159249740971203,47.64977088422031,2.66
134,2.68,0.09175312542427806,0.101094973604869,47.63100298237931,2.68
135,2.7,0.09129969681863573,0.10067366523516612,47.612455380517616,2.7
136,2.72,0.09085663470117257,0.10026217914473216,47.5939328009768,2.72
137,2.74,0.09037697371105148,0.09981143014054789,47.57523001791469,2.74
138,2.7600000000000002,0.08992359331083309,0.09938804605212159,47.55661271521231,2.7600000000000002
139,2.7800000000000002,0.08951205632008888,0.09901010953450885,47.538107558187846,2.7800000000000002
140,2.8000000000000003,0.08900628261798403,0.0985283912795729,47.51925808687217,2.8000000000000003
141,2.82,0.08843485873155287,0.09797403123279047,47.5001571423741,2.82
142,2.84,0.08798545995281269,0.09755293962764643,47.48146001901033,2.84
143,2.86,0.08760873394253092,0.09721031787636016,47.46300739992908,2.86
144,2.88,0.08716999171498269,0.0967994890944097,47.44431241469678,2.88
145,2.9,0.08676176809823585,0.09642138411562405,47.42570798190826,2.9
146,2.92,0.08638184411799214,0.09607394277621188,47.40717518927583,2.92
147,2.94,0.08596898025236845,0.0956897109317501,47.38851365386631,2.94
148,2.96,0.08555663829907072,0.09530547287962066,47.36983859943087,2.96
149,2.98,0.0851852861693153,0.09496569022533134,47.351288732596025,2.98
150,3.0,0.08468815565463719,0.09448743519454059,47.33227628014638,3.0
151,3.02,0.08433742406767815,0.09416912785395676,47.31376692145003,3.02
152,3.04,0.08392679283917111,0.09378512645333964,47.29502143380303,3.04
153,3.06,0.0835286107808774,0.09341362937772248,47.27631705489743,3.06
154,3.08,0.08309117678665448,0.0929986843637521,47.25745992767591,3.08
155,3.1,0.08278379077862008,0.09272597616892185,47.23904126125425,3.1
156,3.12,0.08249503974078336,0.09247383487136124,47.22066038365796,3.12
157,3.14,0.0821622973116045,0.09217276054244315,47.202117085224835,3.14
158,3.16,0.08175790004969731,0.09179222003188148,47.18332001686856,3.16
159,3.18,0.08146730371396302,0.09153636990965654,47.16490510548361,3.18
160,3.2,0.08112592608344275,0.09122408179324798,47.14630510556001,3.2
161,3.22,0.08083383606819039,0.0909661222046816,47.127851644452114,3.22
162,3.24,0.080516370200453,0.09067957538387737,47.109305269731166,3.24
163,3.2600000000000002,0.08026774565075781,0.09046903025776543,47.0909740965476,3.2600000000000002
164,3.2800000000000002,0.07997458281517314,0.09020919046966,47.07247598891536,3.2800000000000002
165,3.3000000000000003,0.07964602452077242,0.0899092621661653,47.05385682217376,3.3000000000000003
166,3.3200000000000003,0.0793229740252228,0.08961499141714153,47.03524570284458,3.3200000000000003
167,3.34,0.07905302209440519,0.08937922351648846,47.01680094452782,3.34
168,3.36,0.0788250070569741,0.08919000320082425,46.998477921067035,3.36
169,3.38,0.07854555000965799,0.08894336943866478,46.97997719260413,3.38
170,3.4,0.07830597365147551,0.08874033363358957,46.96160235141382,3.4
171,3.42,0.0781121812424298,0.08858877505271938,46.943353355567695,3.42
172,3.44,0.07784443437971626,0.08835398327455815,46.92486537569566,3.44
173,3.46,0.07747943703695916,0.08800967035998396,46.906069130683825,3.46
174,3.48,0.07720024331140836,0.08776178647743577,46.88752388962927,3.48
175,3.5,0.0770062960104559,0.08760852204421334,46.86924552313698,3.5
176,3.52,0.07674049337651653,0.08737428107502743,46.85073818762534,3.52
177,3.54,0.07652096028552416,0.08719176856843185,46.832363249975735,3.54
178,3.56,0.07622481351807327,0.08692319300239124,46.8137403577066,3.56
179,3.58,0.0759915131025525,0.08672484914885331,46.79530665218597,3.58
180,3.6,0.07579103462635425,0.08656317268124405,46.7769669710485,3.6
181,3.62,0.07562375968124163,0.08643864757836757,46.758722984158005,3.62
182,3.64,0.07542958651998237,0.08628325376363273,46.7403964709442,3.64
183,3.66,0.07527481933561848,0.08617247605784412,46.722177548645526,3.66
184,3.68,0.07498487708627387,0.08590899602125468,46.703541800234696,3.68
185,3.7,0.07488908424348847,0.08586524282755036,46.68547425960665,3.7
186,3.72,0.07453041988338341,0.08552336110730437,46.66662659519134,3.72
187,3.74,0.07420099393453825,0.0852134041000175,46.647873062073195,3.74
188,3.7600000000000002,0.07403250477307548,0.08508575289793242,46.629588008191114,3.7600000000000002
189,3.7800000000000002,0.07386780074763846,0.08496244485673268,46.61130647102879,3.7800000000000002
190,3.8000000000000003,0.07378862872194569,0.08493671536083586,46.59326050251521,3.8000000000000003
191,3.8200000000000003,0.07366105506249601,0.08485539657758012,46.575072411178645,3.8200000000000003
192,3.84,0.07349223948641302,0.08472649624522433,46.5567686383982,3.84
193,3.86,0.07328353776550946,0.08455187487367917,46.538347433209836,3.86
194,3.88,0.07302884445499584,0.08432459053637635,46.519790838097016,3.88
195,3.9,0.07282585569035145,0.08415668449825604,46.50137008980118,3.9
196,3.92,0.0726472375828979,0.08401540351631677,46.48303146971628,3.92
197,3.94,0.07247896406476052,0.0838854356231017,46.46471914955747,3.94
198,3.96,0.07239061094358532,0.0838467602772715,46.446631085334374,3.96
199,3.98,0.07221508614332958,0.08370931094341946,46.428277996878094,3.98
200,4.0,0.0720578877868874,0.0835921192048882,46.40997999835358,4.0
201,4.0200000000000005,0.07181301314094907,0.08337364853893903,46.39144367201582,4.0200000000000005
202,4.04,0.07173390757242787,0.08334547708814753,46.37336052929832,4.04
203,4.0600000000000005,0.07161091655950245,0.08326651897680801,46.35515958325221,4.0600000000000005
204,4.08,0.07156571360548525,0.08327737000084352,46.33716125699701,4.08
205,4.1,0.07130235096711728,0.0830377128011389,46.31855570852807,4.1
206,4.12,0.0712437274233948,0.08303237102947339,46.30052417912871,4.12
207,4.14,0.07110901706200706,0.08293931992769622,46.28228301028377,4.14
208,4.16,0.07104777050289637,0.08293155964523885,46.264228302235495,4.16
209,4.18,0.07085214928610649,0.08276814006742744,46.24581635079033,4.18
210,4.2,0.07068855728825713,0.08264316291560707,46.22746915362726,4.2
211,4.22,0.07061676168029261,0.08262157419362773,46.209400361338474,4.22
212,4.24,0.0705285748699931,0.08258302290411473,46.19125992888375,4.24
213,4.26,0.07050252430712152,0.0826160122723612,46.17328624207559,4.26
214,4.28,0.0703216760750174,0.08246998804306946,46.15489480397477,4.28
215,4.3,0.070252082435726,0.08245186203061473,46.13681056230731,4.3
216,4.32,0.0701504486427561,0.08239718185203927,46.11863356112135,4.32
217,4.34,0.06997156382744425,0.0822524077745947,46.10025765760028,4.34
218,4.36,0.06989868102060914,0.0822299024031906,46.082167992809694,4.36
219,4.38,0.06980280477355578,0.08218080366251794,46.06401415749324,4.38
220,4.4,0.06964563984313193,0.08205969652692575,46.04570971554904,4.4
221,4.42,0.06968162695753699,0.08216373777342914,46.02789969638903,4.42
222,4.44,0.06972985117581391,0.08228293481423962,46.01011036478829,4.44
223,4.46,0.06951563850667539,0.08209638662745539,45.991641243758124,4.46
224,4.48,0.06943992551805465,0.08207171139349144,45.973524074396295,4.48
225,4.5,0.06934630705927104,0.08202528670951342,45.95537174253754,4.5
226,4.5200000000000005,0.06920831676398853,0.08192525912919865,45.93712502891365,4.5200000000000005
227,4.54,0.06929100617424487,0.08208450512483818,45.91942448331244,4.54
228,4.5600000000000005,0.06921422913211205,0.08205740881547889,45.90131814905194,4.5600000000000005
229,4.58,0.06892186800018484,0.08177680402709794,45.88267903585528,4.58
230,4.6000000000000005,0.06894385034755537,0.08186560837695403,45.86481923386393,4.6000000000000005
231,4.62,0.06885326641578754,0.08182194439503446,45.846682257217346,4.62
232,4.64,0.068704550069272,0.08171054255459258,45.82839524707292,4.64
233,4.66,0.06861155616479055,0.08166369287565425,45.81025684943736,4.66
234,4.68,0.06850651434357688,0.0816021591211949,45.79209652808501,4.68
235,4.7,0.06848072314172038,0.08163325139047325,45.77413772176003,4.7
236,4.72,0.068429184274145,0.08163515236005893,45.75610509409649,4.72
237,4.74,0.06828995246928761,0.08153267946231212,45.737870374687816,4.74
238,4.76,0.06819742663910466,0.0814862227586684,45.719739068395185,4.76
239,4.78,0.0681378381096145,0.08147811528167109,45.70169624876739,4.78
240,4.8,0.06812449445843331,0.0815247714308789,45.68376517547174,4.8
241,4.82,0.06810905319257754,0.08156996508180163,45.66582078137688,4.82
242,4.84,0.06810989905655906,0.08163335673951723,45.647928268974084,4.84
243,4.86,0.06807795954779913,0.08165758820037614,45.62996160134184,4.86
244,4.88,0.06801740095182289,0.08164771359115518,45.61192999474485,4.88
245,4.9,0.067990414481382,0.08167834472441834,45.593973997662154,4.9
246,4.92,0.0678510912367878,0.08157642963401286,45.57574381550003,4.92
247,4.94,0.06782512237570662,0.08160783051275335,45.557797375987974,4.94
248,4.96,0.06787689558745853,0.08173207480653633,45.540033207942095,4.96
249,4.98,0.06792659611190682,0.08185201159861846,45.522284689191174,4.98
250,5.0,0.06790342243278724,0.08188804505702325,45.5043390754952,5.0
251,5.0200000000000005,0.06793289596284158,0.08198679009877868,45.48651975935166,5.0200000000000005
252,5.04,0.06792702878138422,0.08204403132850968,45.46861404923001,5.04
253,5.0600000000000005,0.0680614910007243,0.08226737313716359,45.45105101918219,5.0600000000000005
254,5.08,0.0678935722335403,0.08213006190224323,45.43278683390384,5.08
255,5.1000000000000005,0.06782674063300821,0.0821131525333897,45.41476065189354,5.1000000000000005
256,5.12,0.06778671241568793,0.08212868256148337,45.39679614830828,5.12
257,5.14,0.06765054547455641,0.0820294559450165,45.37861036846441,5.14
258,5.16,0.06765005964224645,0.08209194837352009,45.36074563341354,5.16
259,5.18,0.06778582625947038,0.08231763509120194,45.34319670860525,5.18
260,5.2,0.06773187610323816,0.08231727484650803,45.325205785654234,5.2
261,5.22,0.06768933463074799,0.08232919721957027,45.30725608445735,5.22
262,5.24,0.06767963105057156,0.08238235635375542,45.28936881355637,5.24
263,5.26,0.06766923844939575,0.08243368878843839,45.27149175170943,5.26
264,5.28,0.0676216098406622,0.08244019965566653,45.253534470180476,5.28
265,5.3,0.06763861901553178,0.08252423235714784,45.235728183421834,5.3
266,5.32,0.06770627398376607,0.0826709748316751,45.21802354329758,5.32
267,5.34,0.06770822440539023,0.08273826144649112,45.200178903893686,5.34
268,5.36,0.0677429155726283,0.08284372894246975,45.182421620103426,5.36
269,5.38,0.06769474687637354,0.082849170280795,45.16448399540936,5.38
270,5.4,0.06782011342572626,0.0830642471046999,45.1469344169193,5.4
271,5.42,0.06787027794740007,0.08318952739552916,45.129212949519825,5.42
272,5.44,0.06789281633690943,0.08328196569819578,45.111430687290124,5.44
273,5.46,0.06792313820602333,0.08338163138936192,45.09368770052211,5.46
274,5.48,0.0680169026495788,0.08356182277355055,45.07605761447776,5.48
275,5.5,0.06800659113947966,0.08361367798458076,45.05822232587831,5.5
276,5.5200000000000005,0.0679355106965448,0.08359241261383703,45.04025365716049,5.5200000000000005
277,5.54,0.0681349188886454,0.08389791164973033,45.02288841520703,5.54
278,5.5600000000000005,0.06801780987076503,0.08381964180555174,45.004837223325794,5.5600000000000005
279,5.58,0.06799908466408093,0.08386153074904686,44.986997557292085,5.58
280,5.6000000000000005,0.06785207048344467,0.08374736354916004,44.96888645672097,5.6000000000000005
281,5.62,0.06803822917608908,0.08403767881847775,44.95150265342792,5.62
282,5.64,0.0681243947428458,0.08420724853306107,44.933900823341375,5.64
283,5.66,0.06817984379564802,0.08433942254967677,44.91623874058266,5.66
284,5.68,0.06814716200094159,0.08436521099076283,44.89838466460465,5.68
285,5.7,0.06810317140301939,0.08437844851708584,44.880502104662646,5.7
286,5.72,0.06796033159770093,0.08426983633217314,44.862423431909725,5.72
287,5.74,0.06789915561740333,0.08425881936573829,44.84453871260993,5.74
288,5.76,0.06792246213788412,0.08435508919185507,44.826805566561696,5.76
289,5.78,0.06800242459242588,0.08452092583750272,44.809194353994414,5.78
290,5.8,0.0682344008817078,0.0848707580915565,44.79192334675347,5.8
291,5.82,0.06816003267307609,0.0848443101984018,44.774022955632915,5.82
292,5.84,0.0681579582640229,0.08490906401715054,44.756260712430766,5.84
