phi1_rad,phi1_over_pi,C_max,t_at_C_max,t_at_C_max_over_T1,C_final,C_auc_over_tT1
0.0,0.0,0.00045700574403497016,0.1,0.1,7.711242941394206e-36,0.000133173913720005
0.1745329252,0.055555555555736054,0.03047251042724096,0.22,0.22,2.7751446792404826e-34,0.01636557090768116
0.3490658504,0.11111111111147211,0.06637334668433369,0.22,0.22,6.98149604840373e-35,0.04213927479871837
0.5235987756,0.16666666666720817,0.10053250106947058,0.29,0.29,1.2037062152420224e-37,0.06799794602440251
0.6981317008,0.22222222222294422,0.15925821414766125,0.35000000000000003,0.35000000000000003,0.0,0.12922987680357337
0.872664626,0.2777777777786803,0.19987704347226007,0.32,0.32,6.408771656110852e-12,0.18900838907934525
1.047197551,0.3333333332707543,0.27689396355817325,0.42,0.42,1.7410538224249962e-06,0.4042116419573955
1.221730476,0.38888888876282846,0.3621226245184678,0.59,0.59,0.011242029258347901,0.909736845401044
1.396263402,0.44444444457321236,0.4442151460375245,1.2,1.2,0.15482439115799373,2.8152997208095147
1.570796327,0.5000000000652864,0.4947466526174309,1.26,1.26,0.47874291952890863,4.629293414995601
